League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=2711,time=2022-02-12 00:30:10
5	29.64	3348388	3444412	C++	bowwowforeach	
5	29.02	1407621	1659835	C++	Taohbi	
5	28.63	886483	3944130	ObjectiveC	R4N4R4M4	
5	28.08	1327028	694780	C++	FredericBautista	
5	26.3	1629259	2238245	C#	Marchete	
5	26.3	1181685	759510	Lua	dzik	
5	25.47	935802	764261	Java	Jerhyn	
5	25.42	1447873	614798	Java	Hohol	
5	25.39	1425201	1268523	Java	JamesPun	
5	25.37	1442110	1126354	Java	Wolny	
5	25.35	2043908	1773010	Java	AntiSquid	
5	25.33	805067	614796	Java	Magus	
5	25.12	1438020	3335955	C++	InsomniaRide	
5	25.12	1071140	614825	C#	BeberLeNewbie	
5	24.99	893541	3401639	Java	wala	
5	24.78	1188212	614794	C	superredlark	
5	24.56	1413236	614824	Go	Medici	
5	24.52	739151	614817	C++	Romka	
5	24.36	3973359	3495490	Java	KAbel	
5	24.31	2731276	2068390	C++	panda42	
5	24.25	1433073	1480946	Python3	DWreck	
5	24.13	1855741	2177562	Java	MrKIP	
5	24.1	1304841	619005	Java	NitMpez	
5	24.07	837350	1609529	Ruby	BorisZ	
5	24.01	2114863	1420328	Java	QWERTy	
5	23.97	2006324	1732795	Python3	Djangonaut	
5	23.93	1059313	3434045	C++	_SERGE_	
5	23.86	1347751	614804	Java	FunFR	
5	23.85	4298048	3869720	Java	RealCoderBrookes	
5	23.8	4058746	3376513	Python3	zekabyle	
5	23.78	1333869	614806	Python3	kiwijam	
5	23.72	735910	614826	C++	Agade	
5	23.72	4608132	3914809	Python3	MarcZo	
5	23.69	1179950	3664383	Python3	Patorikkuyatta	
5	23.69	882095	1122761	C++	Useless	
5	23.68	1197161	614830	C#	olsh	
5	23.68	1188839	3915135	Python3	FibrePoeme	
5	23.68	154984	645824	C++	_Royale	
5	23.67	2906497	2503309	C++	daaskare	
5	23.63	3740142	3400187	Python3	Bedstorm	
5	23.63	2762653	2305792	Python3	RAAAT	
5	23.62	2386035	2144614	Java	Samsonov	
5	23.61	351062	614795	Java	Neumann	
5	23.61	1450989	614818	Java	CowZow	
5	23.6	1487392	688385	Java	Razielwar	
