League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=342,time=2022-07-24 00:30:07
2	41.76	2311105	4018143	C++	kovi	
2	38	893541	4016146	Java	wala	
2	37.89	4270882	3993404	Python3	[ron]	
2	37.44	4050016	3830524	Ruby	CharlesSenemaud	
2	36.48	1457162	4029476	C++	JFB	
2	35.45	4499358	3813333	Python3	neumond	
2	34.39	4826217	4282947	C++	An.Petrovich	
2	34.36	2786666	4297161	C++	TetraktysPhi	
2	34.36	1393802	4256857	Python3	amzh	
2	34.18	2924895	3949001	Java	trictrac	
2	34.14	331880	3950764	Kotlin	Monstruo	
2	33.4	3721214	4010312	Python3	jrke	
2	32.87	886483	3958260	C++	R4N4R4M4	
2	32.2	4645285	4311338	Python3	baler0nick	
2	31.76	4584723	3910418	Java	babaaurhum	
2	31.74	648751	3830397	Haskell	dabino	
2	30.04	4591097	3954050	Python3	Gandalfchris	
2	29.98	3657937	4306630	Python3	elderlybeginner	
2	29.98	4182831	3810238	Python3	Flaaamort	
2	29.63	4484234	3810228	Python3	PolentaEater	
2	29.51	3235897	4038408	Java	Zylo	
2	29.51	1409837	3853353	Python3	Meepophobia	
2	28.32	4480687	3812476	Java	bennettj	
2	28.21	2184856	3806623	Python3	MichalOp	
2	28.16	1579129	3813101	C#	GodferThomy	
2	27.94	4117624	3805834	Python3	Thibb1	
2	27.73	3572815	3816503	Python3	Squadalz	
2	27.46	4495714	3821743	Rust	BenInTheBox	
2	26.9	973040	3848427	F#	papyjo	
2	26.82	2290633	3879264	Python3	field3	
2	26.81	311035	4282730	Python3	leojean890	
2	26.78	3839774	3834905	Scala	gurvan_lullien	
2	26.7	1480501	3896157	C++	DaFish	
2	26.4	304126	3810916	PHP	kami	
2	26.39	4482142	3806577	Python3	Nocky02	
2	26.36	811622	3825273	C++	Scarfield	
2	26.32	4781104	4352134	Python3	personne1248	
2	26.31	2140455	3815079	C++	Lord_Binary	
2	26.29	1320638	3809679	Perl	glezmen	
2	26.23	1678032	3807062	Kotlin	Yakanet	
2	26.19	4467092	3825756	Python3	theprogrammingguy	
2	25.85	4163606	3808500	Java	Juli1G	
2	25.83	2288263	3853439	Rust	dbdr	
2	25.79	4396180	3959129	Python3	Manusse	
2	25.74	932727	3873381	Python3	pakopa	
2	25.73	3664446	3809749	Python3	rakcy	
2	25.68	4439699	3806945	C++	zhekasy	
2	25.65	204179	3819935	Rust	resistcorp	
2	25.65	4081634	3843402	Python3	Wontonimo	
2	25.6	4489355	4039953	C++	metainformatic	
2	25.57	3843105	3808399	Python3	PythonSlayer	
2	25.55	3264942	3833183	Rust	maskit	
2	25.53	2069141	4283197	C#	tomeko	
2	25.51	1288527	3802263	C++	Snef	
2	25.48	4124688	3816445	C++	Murat_Eroglu	
2	25.31	360857	3809042	Java	Tibler	
2	25.29	1479930	3812593	C++	LeRenard	
2	25.08	3326403	3814062	Python3	DieBaheit	
2	25.01	4672612	3959082	Python3	Magaloff	
2	24.97	1105817	3816495	Python3	MaximeF	
2	24.81	4470203	3843551	C++	Kaktuts	
2	24.62	4472899	3810089	Python3	nullrand	
2	24.55	4336240	3806585	C	RobHardy	
2	24.31	4367730	3819409	Javascript	Sane87	
2	24.09	3696867	4061860	C++	chouxchoux	
2	24	4083405	3798705	C++	jzen	
2	23.95	2532837	4394722	Ruby	fauresebast	
2	23.95	2724226	3948500	Python3	Kramdar	
2	23.95	1199999	3807319	Python3	Marcs	
2	23.92	4420966	3841717	Python3	Cantilien	
2	23.87	1838289	4305761	C++	Dagal	
2	23.83	3223953	3853257	Java	StempfiFlo	
2	23.78	4340512	4022614	Javascript	CutmanCometh	
2	23.78	3335921	3810260	Kotlin	vcoubray	
2	23.72	1753077	4012760	Python3	codingWhale	
2	23.71	1495510	3812859	Javascript	Mede[ric]	
2	23.61	3589590	3886289	Python3	Edjy	
2	23.58	3563934	3832895	C#	ChuckTheNinja	
2	23.53	3774500	3807471	Javascript	zakariamouhid	
2	23.5	1412263	3805374	PHP	PatrickMcGinnisII	
2	23.42	4184379	3892034	Python3	romain.wg	
2	23.41	4248894	3806574	C++	hedines	
2	23.38	4493118	3807413	C++	TheRealInfinite	
2	23.37	4994157	4397772	Java	DPrahl	
2	23.25	3305510	3806615	PHP	TBali	
2	23.21	4489122	4015956	Lua	c0r3dump	
2	23.13	3846244	3922527	Python3	JLukeSkywalker	
2	23.03	3274958	3816057	Javascript	heejae0704	
2	22.92	3691491	3843265	TypeScript	icecream17	
2	22.4	1466631	3811721	Python3	Akrib	
2	22.37	1863849	3930225	C#	Peglo	
2	22.24	3654176	3813443	Python3	hardkod	
2	22.22	4349642	3807614	Java	AC6	
2	22.22	4289256	3809351	TypeScript	Rick_C-137	
2	22.21	155774	4000520	PHP	dwarfie	
2	22.2	4248866	3806327	C++	ThomasLEMERCIER	
2	22.17	814685	3856780	Javascript	AthosPyte	
2	22.14	4203684	3817588	C#	S03R3N	
2	22.14	1073247	3809763	C++	_NikJ	
2	22.08	4334077	3993080	Python3	Paul_Demanze	
2	22.07	3771662	4305238	Python3	meltice	
2	22.06	3207606	3799759	Python3	TobiasA	
2	22.02	4277867	3911371	C	About	
2	22	2992583	3805667	Lua	ArcherLW	
2	21.98	862919	3806869	C++	Astrobytes	
2	21.95	2977626	3835035	Python3	Sandell0	
2	21.95	1314316	3808536	C++	jolindien	
2	21.86	4470306	4002808	Python3	NONstope	
2	21.72	3983017	3805275	PHP	TLbuis	
2	21.67	4451820	3811831	C++	Teiglin	
2	21.47	901326	3808388	Python3	CodeMaster77	
2	21.45	1981732	3857331	F#	MJS	
2	21.23	2923506	3807287	Python3	darkhorse64	
2	21.01	1880319	3916441	C++	WildSmilodon	
2	20.94	3647844	3972405	Python3	rc95401	
2	20.85	1455753	4038923	Python3	Lysk	
2	20.74	2663983	3906591	C#	TheStrategist97	
2	20.62	3727077	3798222	Python3	Manwi23	
2	20.61	569247	3808447	Python3	LaurentBouvier	
2	20.49	3325751	3834706	Scala	Weran	
2	20.24	4471724	3805671	Python3	Miyukiko	
2	20.24	1685538	3807309	TypeScript	NoctalIvan	
2	19.99	4493013	3806391	C++	Tybo3	
2	19.88	3443015	3813839	C++	Wozniak	
2	19.85	4713241	4138141	Python3	Noremac11400	
2	19.78	1293328	3815976	Python3	TornadoQc	
2	19.77	1140677	3841434	C++	Crog	
2	19.61	4826689	4178978	C++	flookkrup	
2	19.36	4490308	3811128	Python3	LeoGiner	
2	19.14	4624970	3913772	C++	cazeoj	
2	19.1	3203374	3823205	TypeScript	qperie	
2	18.85	1315351	3811634	Python3	Ynovem	
2	18.73	4253866	3810992	C++	solebull	
2	18.63	4116825	3818525	C#	JoeyVera	
2	18.19	4183150	3808678	C++	ChemyR	
2	17.83	4771365	4037480	Python3	J56164	
2	17.59	2407189	3970186	C++	Teuchteu	
2	17.53	4138756	3810786	Python3	Kazraptor	
