League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=7827,time=2022-05-27 00:30:16
5	34.76	2577687	4261360	C++	blasterpoard	
5	33.6	3819989	4259793	C++	KawattaTaido	
5	33.26	4802230	4264019	C++	Nanaeda	
5	33.17	4743931	4263903	Python3	Djak47	
5	33.11	3348388	4259692	C++	bowwowforeach	
5	33.07	1741196	4263115	C++	Valdemar	
5	32.97	3015376	4264110	Python3	gaha	
5	32.53	154984	4275938	C++	_Royale	
5	32.5	4809152	4263758	C++	Bohun	
5	32.36	4339909	4259901	C++	mado-	
5	32.24	3664322	4262830	Python3	cclaude42	
5	32.17	3235897	4264975	Java	Zylo	
5	32.09	2947806	4263141	C++	tokino	
5	31.83	154935	4261750	Scala	yamo	
5	31.73	4065897	4263467	C++	tkodai	
5	31.36	3516666	4261994	C++	Blodis	
5	30.89	1298794	4269610	C++	Husenap	
5	30.81	4863188	4265920	Javascript	kouin	
5	30.56	2907009	4296589	C#	Arnaud.Net	
5	30.53	893541	4282300	Java	wala	
5	30.49	668954	4290298	C++	Fluxor	
5	30.37	4063612	4259265	C++	Scaff	
5	30.3	880353	4260505	C++	zasmu	
5	30	3533119	4275785	C++	wlesavo	
5	29.76	2363657	4274309	C++	Ztrk	
5	29.53	1335230	4282561	C++	jft63	
5	29.4	4060651	4263512	C#	Empted	
5	29.28	2311105	4295894	C++	kovi	
5	29.15	4779693	4266571	Python3	blahhhh	
5	29.1	3368067	4263883	Java	jgall	
5	29.1	3357617	4258876	Python3	Eldanor	
5	29.06	4779944	4266490	Javascript	GlaceCoding	
5	28.98	2539264	4276848	Python3	Nabla_5ch215	
5	28.97	4300424	4265339	Rust	kurnevsky	
5	28.96	3657275	4279209	Python3	jujurocking	
5	28.95	2786666	4264955	C++	TetraktysPhi	
5	28.94	2025868	4260048	C++	sumoru	
5	28.94	1479930	4280638	C++	LeRenard	
5	28.93	3155517	4261751	C#	toto0121	
5	28.92	2968035	4278899	C++	DomiKo	
5	28.92	2970414	4266810	Python3	Fangel	
5	28.9	3436443	4259867	Python3	Mazelcop	
5	28.9	1487392	4258618	Java	Razielwar	
5	28.9	1630890	4258649	Java	Wld	
5	28.9	2796483	4264038	C++	nejineji	
5	28.89	1447713	4284462	Javascript	WhatnotX	
5	28.88	4056744	4260631	C++	itigo	
5	28.88	4146143	4267672	Python3	Zabym	
5	28.88	2254195	4261108	Java	BrunoFelthes	
5	28.85	4056094	4261789	C++	tran0826	
5	28.85	3175946	4270208	C++	qLethon	
5	28.85	4060970	4261766	C++	chakito	
5	28.85	1451652	4262200	C++	afaure	
5	28.83	1755558	4263142	C++	owlly	
5	28.82	736075	4266246	C++	Xyze	
5	28.82	3726978	4261077	C++	VirtualAtom	
5	28.81	4322671	4267723	C#	xMizar	
5	28.78	3076654	4284172	Python3	bonebone	
5	28.64	351062	4296067	C++	Neumann	
5	28.58	754792	4261764	C++	Ramdeath	
5	28.5	3816482	4271054	C++	marcee927	
5	28.35	4399833	4264482	C++	Peterpanda	
5	28.28	4262172	4260351	C++	highjump	
5	28.17	4110073	4261960	C++	souta_1326	
5	28.17	196808	4263868	C++	bonam	
5	28.15	4317078	4259432	Rust	shamio	
5	27.97	848394	4263239	Java	schwarzahl	
5	27.96	4603968	4267531	Java	mframbou	
5	27.36	3380184	4296229	Java	chouch	
5	27.2	4083906	4261596	Python3	tonigineer	
5	27.07	4235021	4262078	Javascript	Amvr	
5	26.73	3903591	4267605	Javascript	Matubu	
5	26.66	4256431	4266325	Java	butcher2013	
5	26.66	2089692	4267758	Scala	raxkin	
5	26.65	2450542	4263724	C++	MindController	
5	26.6	3958314	4260103	PHP	NicoDeug	
5	26.55	193315	4302071	C#	hau	
5	26.54	4798287	4260809	TypeScript	Pietsen	
5	26.25	1870832	4259864	C++	Jino42	
5	25.94	3776530	4262055	Python3	Insufficient	
5	25.87	198916	4261898	Java	WhatTrickeryIsThis	
5	25.64	1361453	4263094	PHP	Xav726	
5	25.52	1422564	4260722	Rust	stolyaroleh	
5	25.48	3203557	4263300	C++	burnpanck	
5	25.45	1994840	4259025	C#	Keiichi	
5	25.27	628171	4260714	Rust	xyz600	
5	25.09	1647133	4295534	Java	ilt	
5	25.09	4865849	4258970	Python3	JamesX2	
5	25.06	3765896	4260371	Javascript	Twelve0	
5	25.03	4345632	4267622	Python3	MindTheGab	
5	24.99	4054608	4263051	C++	Rikus	
5	24.96	4856369	4267456	C++	RoHS_Compliant	
5	24.96	3795745	4260527	Javascript	Soboku	
5	24.95	4869678	4259654	Java	Quentin_Covfefe	
5	24.94	4060722	4268724	Java	StevenV	
5	24.93	4909898	4297035	Python3	Chupeto	
5	24.91	3353481	4259907	C++	takumi152	
5	24.9	4367086	4280163	Python3	_Pramod_	
5	24.88	4778025	4285302	Python3	MGTRFELIPEURREGO	
5	24.84	1500515	4262690	C#	eulerscheZahl	
5	24.82	4304956	4268532	Python3	Jake_Simmo	
5	24.82	4838501	4262204	C++	Cantou	
5	24.82	484004	4285584	C#	aCat	
5	24.78	1076632	4262329	Rust	Chen	
5	24.77	4861044	4272836	Javascript	Edracoon	
5	24.77	1492846	4259817	Python3	mdaw	
5	24.76	815488	4264773	Java	Seti	
5	24.76	154388	4267130	Rust	PonyPonyCodeCode	
5	24.75	1854246	4267874	C++	Counterbalance	
5	24.74	4048610	4261501	C++	ghandii	
5	24.72	1416180	4261273	Python3	ddreams	
5	24.7	997088	4258664	Rust	haruki	
5	24.65	580424	4262003	C++	siman	
5	24.64	4187024	4260818	Python3	DooFy	
5	24.62	4060123	4263298	Python3	Pbatch	
5	24.61	3578070	4284661	Python3	3ataja	
5	24.58	1457162	4264517	Python3	JFB	
5	24.56	4438822	4287032	Python3	ludodul	
