League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=2628,time=2020-04-11 01:11:17
4	29.93	3193653	2663006	C++	karliso	
4	29.16	2522090	2676728	C++	MSmits	
4	28.68	1400179	2646946	C++	reCurse	
4	28.25	186179	1996640	C++	Nagrarok	
4	27.81	1860953	2624423	C++	Miarem	
4	26.58	1802419	1964619	C++	shummie	
4	26.48	3243532	2608552	C++	teccles	
4	26.42	1549145	2610306	C++	Mealc	
4	26.41	1728326	2700160	C++	yduf	
4	26.37	1944726	2657989	C++	bourgeof	
4	26.3	3457031	2693746	C++	YurkovAS	
4	26.23	735487	2681867	C++	amurushkin	
4	25.99	869239	2661822	C++	Vingte	
4	25.82	3136787	2645540	C++	jacek	
4	25.81	155924	2638403	C++	yvesmocq	
4	25.71	1607522	2116316	C++	RoboStac	
4	25.61	1629259	2607545	C#	Marchete	
4	25.52	2923506	2697551	C++	darkhorse64	
4	25.32	2725066	2152060	C#	Cize	
4	25.1	588426	1815129	C++	Jeff06	
4	25.04	1480501	2356500	C++	DaFish	
4	24.92	154312	2683075	C++	ThomasNicoullaud	
4	24.12	2007852	2642821	Go	Zorg1	
4	24.11	2924895	2629601	C	trictrac	
4	23.94	351062	2607946	C++	Neumann	
4	23.91	1314316	2205692	C++	jolindien	
4	23.81	805067	2607951	C++	Magus	
4	23.45	735910	1765816	C++	Agade	
4	23.43	1607034	2659214	Rust	tomatoes	
4	23.43	3213465	2305018	C++	Gegene	
4	23.36	2288263	2591448	Java	dbdr	
4	23.16	2731276	2050686	C++	panda42	
4	23.04	3076371	2633253	C++	Eucerin	
4	23.01	1734105	2246839	C++	Bibou	
4	22.65	1307473	2502838	C++	Evgenykz	
4	22.62	1783604	1779456	C	Vry	
4	22.39	1479930	2600311	C++	LeRenard	
4	22.38	832306	2201315	C++	pb4	
4	22.34	1203167	2342643	C++	r3versi	
4	22.32	218189	2492540	C	[CG]Maxime	
4	22.31	512097	2606753	C++	Stilgart	
4	22.09	1206537	2595084	C++	MadKnight	
4	21.88	1489865	2331914	C++	EricSMSO	
4	21.87	2906497	2239509	C++	daaskare	
4	21.8	3274956	2600347	C++	LeProfesseur	
4	21.75	154388	2616436	Rust	PonyPonyCodeCode	
4	21.68	926124	2091007	C++	Beerus	
4	21.61	2363657	2479197	C++	Ztrk	
4	21.58	886483	2481711	ObjectiveC	R4N4R4M4	
4	21.55	154984	2645799	C++	_Royale	
4	21.26	1540478	2705919	C++	struct	
4	21.13	1399382	1877044	C++	Regulus136	
4	20.98	1194069	2426768	C++	Redstrike	
4	20.96	2771065	2574660	C++	JHBonarius	
4	20.92	2086052	2445968	C#	Lks10	
4	20.81	1335230	2238545	C++	jft63	
4	20.74	668954	2498370	C++	Fluxor	
4	20.69	1606588	2226078	C++	inoryy	
4	20.59	1903031	2083350	C++	hard-coded	
4	20.47	3502795	2508571	C++		
4	20.47	1022925	1850087	C++	Adrien.	
4	20.42	854169	2226182	C++	Silmaen	
4	20.42	1372349	2410688	C++	NinjaDoggy	
4	20.35	3486054	2493475	C++	Evgenykz5	
4	20.35	1415495	1772153	C	fenrir	
4	20.34	3542691	2581605	C++		
4	20.27	1757536	2326702	C++	BlueGhost31	
4	20.25	2316796	2229265	C++	Psio	
4	20.21	1106450	1857071	C++	RiSuS	
4	20.13	153774	1853448	C++	cocoche007	
4	20.09	1831684	1940367	Java	dbf	
4	20.06	3226448	2684514	C	tobk	
4	20.06	972894	1853658	C++	resty-daze	
4	20.05	1109979	2661551	C++	Gloopy	
4	20.01	3362602	2404440	C++	nulte	
4	19.96	1714338	2127358	C++	cobase2010	
4	19.94	2416641	2633289	C++	Zenoscave	
4	19.92	524638	2459526	C++	miklla	
4	19.91	1684486	2726492	C++	Whopper	
4	19.84	2161313	1937588	C++		
4	19.84	893541	2688863	Java	wala	
4	19.76	943556	2423101	C++	DollarAkshay	
4	19.76	1616071	2321202	Java	Cyberpunk	
4	19.76	3636931	2668627	Rust	v0lat1le	
4	19.74	1479137	2608915	C++	lorenzods	
4	19.73	1930837	2614349	Java	dacr	
4	19.72	1767130	2125249	C++	Binome38	
4	19.68	1944142	2623930	C++	yakalir	
4	19.68	2741162	2204271	Kotlin	YannT	
4	19.61	2043908	2638490	C++	AntiSquid	
4	19.58	335954	2207102	Java	nmahoude	
4	19.55	892056	2218199	Java	LaurentTrk	
4	19.55	2295548	2588390	Rust	banban	
4	19.46	3207204	2733779	C	RomanceDawn	
4	19.46	1759839	2737337	C++	matleg	
4	19.45	1673512	2078108	C++	Ryoken	
4	19.38	1515891	2675409	Go	ndc	
4	19.32	3486141	2491019	C++		
4	19.15	2847672	2263397	C		
4	19.07	155774	2607535	C++	dwarfie	
4	19.03	2037512	2599313	Rust	mosh	
4	18.78	2451652	1943207	C	code_of_the_dead	
4	18.7	1500515	2600650	C++	eulerscheZahl	
4	18.62	1870937	2607884	C++		
4	18.53	1049935	2055795	C++	Azkellas	
4	18.48	837350	2206621	Go	BorisZ	
4	18.39	3502867	2639721	C++	The_Duck	
4	18.28	1457162	2056787	C++	JFB	
4	18.16	2158902	2119372	C++	Snowbart	
4	17.99	638784	1905082	C++	Yqnn	
4	17.93	1931039	2206055	C#	MooMooN	
4	17.85	1757792	2626730	Java	oreshnik	
4	17.85	1756952	2408897	C++	Petras	
4	17.83	2386035	2604986	C++	Samsonov	
4	17.78	2433536	2603989	Go	GiantPanda	
4	17.49	2718975	2683986	C	mykeich	
4	17.45	1162034	2639763	C	krakeusz	
4	16.79	1306813	2169907	C++	sprkrd	
4	16.43	2972662	2639762	C++	Hoyer	
4	15.78	155008	2135667	C++	Majavar	
4	15.43	1061242	2597406	C++	chucknorris	
4	12.97	854952	1849509	C++	dolmen1234	
4	8.82	3428261	2760338	D		
4	0.84	2636370	1998859	C++	SupSon	
4	0.76	3170918	2608130	C++	reLu	
4	0.7	3526748	2581360	Python3		
4	0.45	1468059	1876737	C	perseverent	
