League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=174,time=2022-01-18 00:33:56
0	43.89	3903473	3454991	Python3	Konstant	
0	41.11	2311105	3456274	C++	kovi	
0	39.96	3902927	3454228	Python3	Bulgot	
0	37.03	705640	3222978	C#	KAAndreyR	
0	35.85	4199011	3481394	Python3	MarTiaNe	
0	35.48	4015296	3135017	Python3	Excidium	
0	34.7	1186250	2998883	Python3	Gabbek	
0	34.01	416762	2700375	TypeScript	Khao	
0	32.51	886483	3974583	C	R4N4R4M4	
0	32.41	3699503	3440344	C#	Endata	
0	32.26	1145321	3444381	Python3	tomfa	
0	31.56	2924895	3468123	C	trictrac	
0	31.53	1766761	3132960	Python3	Wahoc	
0	31.18	2290633	2648016	Python3	field3	
0	31.05	1712393	3010532	C++	JackJohnson	
0	31.03	4447108	3784014	C#	MonkeyFeathers	
0	31	4373790	3708322	Javascript	Eltrion	
0	30.36	3647844	3920594	Python3	rc95401	
0	30.21	3939248	3347550	Java	Guinsoo	
0	30.11	4614440	3901638	C#	Forze-smb	
0	30.05	973040	2640573	C	papyjo	
0	29.72	1539948	3166716	Python3	Fotoblysk	
0	29.3	1575526	3841627	Python3	10Casac	
0	29.03	1622340	2683306	C#	VernerVinge	
0	28.84	389786	3384019	Java	menu	
0	28.53	4381382	3848428	Python3	Uriaz	
0	28.22	862336	2687416	C++	Zaphus	
0	28.12	2828224	3480542	Go	turjukuncu	
0	27.84	2070953	3920437	Java	programdestroyer	
0	27.69	792813	2644593	Python3	VilBoub	
0	27.68	3881772	3502972	Javascript	Halberd	
0	27.64	1029602	2675357	C	Potemkine	
0	27.58	3373803	3487417	PHP	Fanfoi125	
0	27.31	3913241	3791953	Python3	KevinLi-py	
0	27.25	3695887	2689307	Python3	timothy-wi	
0	27.02	1531855	2681600	C#	GrafZahl	
0	27	2416641	2674691	C#	Zenoscave	
0	26.98	1525816	2678653	TypeScript	Flodnes	
0	26.91	3564009	2652214	Lua	Waffle3z	
0	26.41	3774045	2988207	Python3	MasterDuck	
0	26.38	3561816	2641886	Python3	noname1477	
0	26.27	1288527	2644937	C++	Snef	
0	26.23	3657937	3712924	Python3	elderlybeginner	
0	26.22	2288263	2640228	Rust	dbdr	
0	26.13	1066745	2641015	Java	DepartmentOfRedundancy	
0	26.09	1863849	3929356	C#	Peglo	
0	26	3726287	3466266	Kotlin	PostApoDragon	
0	25.86	3678890	3349246	Python3	laPetiteGrenouille	
0	25.76	1500515	2668809	C#	eulerscheZahl	
0	25.39	2923506	2639153	C++	darkhorse64	
0	25.36	3386139	2682612	Python3	MaliciouslyCrypticUsername	
0	25.19	4576463	3891749	Python3	Didelabedeli	
0	25.03	4470306	3844776	C#	NONstope	
0	24.99	314562	2640903	C++	Mechar	
0	24.92	1854246	2679912	C++	Counterbalance	
0	24.69	3926522	3923718	Python3	Denshire	
0	24.44	2043908	3480691	C#	AntiSquid	
0	24.37	1953786	2656811	Go	ludowsky	
0	24.35	3233540	3122480	Java	kumlien	
0	24.34	4068639	3284949	Java	IxionTour	
0	24.31	2190197	3132941	Python3	Santyx_Orrer	
0	24.22	3274956	3954388	C#	LeProfesseur	
0	24.16	3991851	3168581	Javascript	Roburrito	
0	24.16	1838289	2717481	C++	Dagal	
0	24.13	999637	3951844	Python3	dinobogan	
0	24.06	3255947	3319344	C#	sialino_florian	
0	23.96	1835014	2837027	C	Frits	
0	23.86	1341520	3146234	Java	egaetan	
0	23.8	4082275	3321876	Python3	Swedlion	
0	23.77	4044921	3321888	Python3	drTom	
0	23.7	1585977	3108367	Javascript	Autom3	
0	23.61	3479124	3032789	Python3	Laminator	
0	23.48	4127428	3468639	Go	Keno185	
0	23.46	1464932	2639606	Java	Tiramon	
0	23.35	1449433	3528055	C++	Rolf	
0	23.32	3230159	3788441	Java	Phoniex__	
0	22.99	3986479	3144129	Python3	sbrnc	
0	22.95	1817330	2749988	Python3	Drisnor	
0	22.8	2184549	3165411	C++	Cedric_Martinez	
0	22.7	3427517	3692796	Javascript	csysja	
0	22.65	2782638	3075088	Python3	whothehellhastakenmynickname	
0	22.46	231975	2688084	C#	Remoh69	
0	22.35	4184000	3522829	Python3	VannHell	
0	22.18	3515315	3096034	Python3	MichalM	
0	22.04	4000328	3781174	Java	JavaJava	
0	21.8	1063491	3832275	Python3	bug_sniper	
0	21.78	224325	3488360	TypeScript	TidyMaze	
0	21.71	4591097	3973918	Python3	Gandalfchris	
0	21.67	893259	3173728	Python3	pveniat	
0	21.52	371603	2675493	Ruby	martin	
0	21.52	3846244	3068823	Python3	JLukeSkywalker	
0	21.49	952784	3469804	Java	[CG]Simon	
0	21.26	1178401	3134308	Python3	mizzHuarta	
0	21.14	3563934	3821849	C#	ChuckTheNinja	
0	20.91	1740037	2677758	Scala	ereiam	
0	20.61	1398702	2671473	Javascript	Hota	
0	20.52	2961297	3833740	C++	bitwitch	
0	20.27	1490383	2685619	C++	arkwaw	
0	20.1	4420885	3745653	PHP	TouliTouliRoula	
0	19.92	4024353	3154426	Java	Enialix	
0	19.9	4365347	3698240	Python3	theonlyjt	
0	19.83	1378958	2639009	C#	Illedan	
0	19.83	311035	3108380	Python3	leojean890	
0	19.83	956638	3016863	C++	Pi-Geometry	
0	19.82	4014801	3331471	Java	Warred	
0	19.79	924425	3816902	Javascript	poney	
0	19.79	3983017	3343813	Python3	TLbuis	
0	19.77	1412263	2658908	PHP	PatrickMcGinnisII	
0	19.69	1493715	3076417	Python3	VentedKarm	
0	19.58	4220057	3460174	Python3	EvilRed	
0	19.45	4106265	3379979	Javascript	NickolaiWinther	
0	19.17	4513668	3884118	Dart	Gtta	
0	19.01	3492840	2702885	C++	stormKx18	
0	18.93	894599	3877739	Java	DidierC	
0	18.82	3420134	3536670	Python3	KelvinAndHubbles	
0	18.58	3965752	3205278	Javascript	SpiderSeb	
0	18.54	2817629	3639936	Python3	itaniknight	
0	17.65	4030811	3343704	C#	Ennobenno	
0	17.07	2096731	3431761	Javascript	Synthy	
0	16.67	1035630	3695526	Java	Vestiaz	
0	16.51	4211056	3972368	C#	Nachosauce	
0	16.3	3464590	2640188	Java	abbecool	
0	15.58	3975030	3438619	PHP	tiboitel	
0	15.56	916499	3468162	Python3	AlyTomji	
0	15.1	2704172	3470596	Python3	darkCoder	
0	15.08	4612597	3901404	PHP	OrelienThomas	
0	15.06	4348862	3682116	Go	ultimatewizardracer	
0	15.05	1272263	3103716	Python3	Caled	
0	14.55	2069141	3324383	C#	tomeko	
0	14.51	1099222	3961325	C#	Koydas	
0	14.42	3101644	2685695	Python3	HerrHagner	
0	14.33	3897897	3920827	Python3	____Z_X_C____	
0	14.27	3858550	3077065	Python3	SPDene	
0	14.17	4234645	3471800	Go	MLPSimta	
0	14.05	2151931	3869406	Javascript	NefiteTifall	
0	13.72	3659917	3100143	Java	Fa_Hae	
0	13.7	4283374	3511033	Java	THENOAH	
0	12.79	910617	3692280	C#	Az44m	
0	12.33	3937268	3070147	Javascript	kimmmmmm	
0	11.6	3811085	2917983	Javascript	Aleksandr000	
0	11.46	1713174	2651416	Python3	BigUP	
0	11.09	4525057	3877903	C	brule	
0	8.04	1528274	2982159	Ruby	BlanCap	
0	6.87	4245705	3473012	Python3	tuhfjfssfsf	
0	6.78	4141556	3954864	C++	Justnoone	
0	6.69	1854639	2995972	C#	iDxMeG	
0	6.68	3136787	3497462	C++	jacek	
0	6.68	4017851	3732867	Java	Pintago	
0	6.66	4362355	3691499	C#	Laezon	
0	6.66	2127743	2698139	Python3	Schorfma	
0	6.65	4367412	3699283	Python3	codin_computer	
0	6.65	1790638	3956454	Javascript	BennySama	
0	6.65	4626700	3955804	PHP	JohnyDarecek	
0	6.64	3356883	2999937	Javascript	sura26	
0	6.62	3795745	3004425	Javascript	IkiTadashi	
0	6.61	4594770	3930339	Groovy	picoplankton	
0	6.61	3569066	3497464	D	derjack	
0	6.59	3354337	3450263	C++	Mrs.GloriaZindlebocker	
0	6.57	4259384	3489577	Python3	La-KuKaRaCh	
0	6.56	523846	2679606	C#	Palmipedus	
0	6.54	3808031	2990060	Ruby	_proton	
0	6.52	3467873	3041652	Javascript	JordanBerger	
0	6.44	2325449	3314532	Perl	otpv	
0	6.22	3721214	3042925	C++	jrke	
0	6.1	1786692	3349081	C#	Matryzas	
0	6.05	1198619	3968546	TypeScript	Ocy	
0	5.6	2036356	3077762	C#	Choumanboy	
0	4.91	1636566	3781668	Python3	Darkry24	
0	4.85	4043432	3330072	Python3	dishwasher	
0	3.47	3779368	3403276	Python3	Stunji_Ray	
0	2.27	2419811	2653837	Python3	Valbou	
0	0.98	3402737	3127471	Dart	treeplate	
0	-2.59	4261845	3510809	C	hicks	
0	-3.09	4010306	3911190	Python3	Missapinoa	
