League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=6297,time=2021-05-11 02:43:09
5	33.61	3379871	3600680	C	Bitse	
5	33.38	3348388	3516552	C++	bowwowforeach	
5	32.4	1194069	3519417	C++	Redstrike	
5	31.58	1059122	762030	C++	g2lm	
5	29.63	668954	1431021	C++	Fluxor	
5	27.53	820000	2839554	C++	ValGrowth	
5	27.42	1673971	1228339	Java	Lanken	
5	27.33	448075	654182	Java	Rix	
5	27.31	403748	654211	Java	[CG]SaiksyApo	
5	27.28	832306	2842176	C++	pb4	
5	27.25	2254195	1751822	Java	BrunoFelthes	
5	27.25	2113933	1411820	Java	Selektdik	
5	27.23	1415495	1601690	C	fenrir	
5	27.2	351062	2835926	C++	Neumann	
5	27.2	1629259	2983466	C++	Marchete	
5	27.15	2043908	2836926	Java	AntiSquid	
5	27.1	935802	654152	Java	Jerhyn	
5	27	3203557	2262759	C++	burnpanck	
5	27	2924895	3426596	C	trictrac	
5	26.9	1438020	2604000	Java	InsomniaRide	
5	26.74	1757536	2704115	C++	BlueGhost31	
5	26.59	735910	2594632	C++	Agade	
5	26.59	1487392	2846227	Java	Razielwar	
5	26.58	524638	899202	C++	miklla	
5	26.45	1314316	3520323	C++	jolindien	
5	26.22	638784	662396	C++	Yqnn	
5	26.2	154312	2694432	Java	ThomasNicoullaud	
5	26.18	226528	654165	C++	Manwe	
5	26.09	269386	654169	C++	fayr	
5	26.05	3819989	3530206	C++	KawattaTaido	
5	26.03	2508635	2757657	Java	hemhel	
5	26.01	421432	3453178	C++	sherwood2	
5	26	2074286	1419548	Java	Selindek	
5	25.96	1201796	1323505	C++	P.Greze	
5	25.95	844085	3046427	C++	kyopro_otk	
5	25.95	155924	666163	C++	yvesmocq	
5	25.8	2077064	1516006	Java	GamingKing	
5	25.79	770792	1440834	C++	T.H.	
5	25.7	1076632	3059289	C	Chen	
5	25.63	1489865	974083	C++	EricSMSO	
5	25.57	193315	2152339	Java	hau	
5	25.54	3457031	3102680	C++	YurkovAS	
5	25.52	241401	654193	C++	Nozomi	
5	25.48	1931039	1173793	C#	MooMooN	
5	25.46	1636241	805204	C++	aprilis	
5	25.44	502798	2705904	C++	thunder	
5	25.39	4057477	3404155	Java	Polilla	
5	25.39	318643	2212824	C++	Sherwood	
5	25.34	2077458	2224715	Javascript	Ragi	
5	25.32	2288263	3536227	Rust	dbdr	
5	25.29	1757792	1423104	Java	oreshnik	
5	25.28	2350846	2178050	C++	DrBloodmoney	
5	25.26	1477622	986772	C#	zrdon	
5	24.96	1336464	959699	C++	magaiti	
5	24.94	2007852	2571965	Go	Zorg1	
5	24.9	893541	3122566	Java	wala	
5	24.88	1350070	2535496	Rust	aPeronnet	
5	24.84	312940	806482	C++	Kostka	
5	24.83	1921687	2316044	Python3	Black-Born	
5	24.77	1347650	2405405	C++	T-Dup	
5	24.71	1100614	654185	Java	ppeetteerr	
5	24.71	1114698	3318655	Java	xiaohouzi	
5	24.7	1500515	1642000	C#	eulerscheZahl	
5	24.62	1175343	654205	C++	Hankerspace	
5	24.6	805067	2058258	C++	Magus	
5	24.59	4154326	3431060	Go	montplusa	
5	24.53	1629225	3132766	F#	gsomix	
5	24.49	227178	654172	C++	MonsieurV	
5	24.43	1036012	2588989	Haskell	Chahine	
5	24.39	1897660	2640079	Scala	[hingra_f]Yama_	
5	24.36	1206537	2054806	C	MadKnight	
5	24.33	831033	2195200	C#	Nuk3nS3rv3	
5	24.28	331880	1108800	Scala	Monstruo	
5	24.24	2378983	3317993	Java	jonip	
5	24.19	3498674	3384746	C++	Sko0owi	
5	24.17	201919	654151	C++	LouJo	
5	24.16	2407994	2653514	C	EliasHasle	
5	24.13	1898847	2090418	C	faga	
5	24.13	154984	2610757	C++	_Royale	
5	24.07	1607522	1606215	Go	RoboStac	
5	24.03	212028	654212	Java	GHenry	
5	24.03	1716299	1424539	C++	micky924	
5	23.99	1001096	1416046	C#	MyIIone	
5	23.99	1241573	654190	C++	Antoad	
5	23.98	2386035	3124625	C++	Samsonov	
5	23.95	153425	654218	Go	cho	
5	23.92	2968035	3386271	C++	DomiKo	
5	23.89	3380514	2469508	Java	DFrese	
5	23.88	1400179	1301512	C++	reCurse	
5	23.83	2193494	1473477	C++	ta_ta	
5	23.81	3721214	3420257	C++	jrke	
5	23.79	3914756	3351046	Rust	RheoTommy	
5	23.73	1131528	654176	C#	Owl	
5	23.72	1737246	967439	Java	Adam798	
5	23.71	1673335	3120774	C++	LoGos	
5	23.69	1163138	2345534	C++	Vince85	
5	23.65	1903031	1758600	C++	hard-coded	
5	23.63	315237	2599780	C#	Loran75	
5	23.56	257832	3432997	C++	BlaiseEbuth	
5	23.54	484004	1481422	C#	aCat	
5	23.49	204022	1313569	Java	max8774	
5	23.45	1321243	1061116	C++	PierreBizeul	
5	23.42	3770928	3292281	C++	ku-haku	
5	23.35	3622757	3358325	C++	anid	
5	23.35	1022925	1411601	C++	Adrien.	
5	23.33	1498163	1513776	C	Ben-oit	
5	23.23	1673512	2369853	C++	Ryoken	
5	23.22	279452	654191	C++	mangoose	
5	23.22	2797139	2027014	C++	BAC	
5	23.21	1838612	3435732	Go	statiolake	
5	23.19	1071140	656275	C#	BeberLeNewbie	
5	23.18	527749	1428784	Go	Pds	
5	23.14	3959718	3091124	C++	Airgo1	
5	23.12	837350	1669906	Go	BorisZ	
5	23.09	1687064	1405504	C++	JBoulic	
5	23.08	3438547	2482237	C	tonypo	
5	23.07	2002555	1407311	C++	MAXN	
5	23.06	2219293	1618083	Python	DeWitt	
5	23.06	302495	3356696	C++	OhmatheusVolt	
5	23.05	2295548	2640826	Rust	banban	
5	23.04	1258533	1108157	Python3	MathJason	
5	23.02	1049935	2211708	C++	Azkellas	
5	23.01	153327	654199	C++	Ayb.BH	
5	22.97	1097801	2773198	Python3	Noobmaster69	
5	22.97	464971	654160	C++	PsyGuy66	
5	22.95	378761	654198	C#	Lure01	
5	22.92	629655	654210	C++	Wolden-Dans	
5	22.9	826372	1622377	Java	skyyker	
5	22.88	1335230	2000052	C++	jft63	
5	22.84	4229382	3493065	Javascript	ClarkLawlor	
5	22.83	1846419	1224363	C++	XavM	
5	22.83	938449	654206	Python	GalaxyNET	
5	22.76	3433608	2582130	Rust	altazar	
5	22.74	2796112	2026482	C++	CarbageGollector	
5	22.72	1304583	1127754	PHP	eltharin	
5	22.7	1034499	3495820	C#	DOS	
5	22.7	1353669	1415506	Python3	XAnimaX	
5	22.6	1863217	1097674	C	Draradech	
5	22.56	1854639	3002175	C#	iDxMeG	
5	22.54	2590149	2475820	C++	GoofyGas	
5	22.52	2796161	2025304	C++	RuslanGabbasov	
5	22.52	1634682	805673	Python3	Ts	
5	22.51	155939	654215	C	xylo	
5	22.51	1479930	2266319	C++	LeRenard	
5	22.48	926124	2088633	C++	Beerus	
5	22.48	224044	654171	Javascript	sokol815	
5	22.47	1752518	2218991	Java	akirender	
5	22.45	153557	1731954	C++	ISMAX	
5	22.44	315887	654150	C++	NicolasPi	
5	22.44	1480501	2420133	C++	DaFish	
5	22.43	833606	654566	Java	mattrero	
5	22.42	1342745	2673025	C++	Catiminie	
5	22.41	1629241	936575	Java	DeVan	
5	22.4	2496487	1849243	C++	Wachikoki	
5	22.4	1846783	1218120	C++	asperger	
5	22.38	1478781	1319900	C++	maxim1000	
5	22.37	1889170	1389136	C++	mvujas	
5	22.37	800441	2684411	Kotlin	kwrig	
5	22.27	307151	2171945	Java	EmmanuelAsfar	
5	22.22	1176700	654216	C++	HL	
5	22.21	3983017	3341693	Python3	TLbuis	
5	22.16	270479	654158	Javascript	jpfoucault	
5	22.16	226115	762478	C++	Nergal	
5	22.03	4135941	3384747	C++	Darkosss	
5	22.01	1245647	1508407	C++	[CPC]Herbert	
5	21.98	3670631	3597700	Python3	merlleu	
5	21.97	3689483	2687774	C++	Rd211	
5	21.97	854169	1593787	C++	Silmaen	
5	21.88	224676	2702731	Python3	Jin66	
5	21.85	1114834	2333532	Python3	k4ng0u	
5	21.82	153962	1653646	Java	[CG]XorMode	
5	21.72	2233179	1754580	C++	Samsa	
5	21.67	668906	654196	Java	Sandworm	
5	21.58	1211965	928485	C++	B0b	
5	21.57	1481384	986955	Java	Ethaniael	
5	21.56	735487	2832854	C++	amurushkin	
5	21.53	1634667	803641	Python3	aja	
5	21.49	1529191	664820	C++	qba	
5	21.46	879946	668160	C++	Loghorn	
5	21.45	1646609	801932	C++	Goovie	
5	21.45	855492	1325713	Go	Erk	
5	21.4	1607034	2996203	Rust	tomatoes	
5	21.39	273285	654200	Java	paradoxe	
5	21.34	1666441	943554	C++	ilostmypen	
5	21.33	1195467	2213938	Python3	Etienne38	
5	21.32	3657691	3018673	Python3	D3structor	
5	21.29	2259761	2993774	Python3	ReborN	
5	21.27	1832570	1424622	Javascript	zeprone	
5	21.25	300142	654180	C++	oyefremov	
5	21.25	1360485	654186	C++	ileasile	
5	21.18	806157	667216	C++	Aveuh	
5	21.16	1566335	2606565	Python3	BeardedWhale	
5	21.14	3527657	2704495	Python3	AT274	
5	21.14	1920279	3092407	C++	Titic91	
5	21.14	1034338	654195	Python	Galilleos	
5	21.14	371603	1578878	C++	martin	
5	21.12	1636557	805950	Python3	smalik	
5	21.11	4264673	3526729	Python3	ozozpa	
5	21.06	153774	1323354	C++	cocoche007	
5	21.05	1854731	1597362	C#	Solringen	
5	21	2923506	2438312	C++	darkhorse64	
5	21	1485015	1514761	C++	Murky	
5	20.97	1106450	1577308	C++	RiSuS	
5	20.96	1169499	1618353	C++	naab	
5	20.95	1815974	1408313	C#	tvv766	
5	20.93	1065845	1308791	Ruby	Oli8	
5	20.92	1949851	1308942	Go	gollariel	
5	20.92	1642369	806021	Python3	zyks	
5	20.9	3443015	3155068	C	Wozniak	
5	20.88	1539245	3015784	Python3	Riduidel	
5	20.86	857521	1324674	C#	MrAnderson	
5	20.86	463873	654223	Python3	tanakat01	
5	20.83	840626	654194	C	bl_kelby	
5	20.83	1968855	3371185	C	ThePurificator	
5	20.82	2979432	2137187	Java	freeeeeze	
