League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=45,time=2021-04-12 02:34:16
3	32.91	4119720	3497737	C++	maniekTC	
3	28.66	2311105	3457413	C++	kovi	
3	25.45	2288263	3481308	Rust	dbdr	
3	22.44	2924895	3479811	C	trictrac	
3	22.02	1457162	3491109	Python3	JFB	
3	21.96	3815413	3461913	Swift	Michael_Howard	
3	21.59	3839774	3466623	Kotlin	gurvan_lullien	
3	21.46	2923506	3456983	C#	darkhorse64	
3	20.23	1500515	3409988	C#	eulerscheZahl	
3	11.46	1757792	3421525	Java	oreshnik	
2	23.68	969000	3469818	Javascript	KB	
2	19.58	973040	3471078	F#	papyjo	
2	18.92	2433536	3460001	Python3	GiantPanda	
2	17.68	2290633	3414008	Python3	field3	
2	15.83	3699585	3491101	Python3	Viande	
2	14.51	4198291	3460078	Python3	elcio	
2	14.12	1569722	3460249	Rust	baysmith	
2	13.26	1569420	3480991	Python3	Tuo	
2	11.04	2704172	3460859	Python3	darkCoder	
1	13.38	4223250	3456911	C#	Absentiy	
1	12.67	1123581	3460232	Python3	Luksis	
1	12.19	3136787	3459439	C#	jacek	
1	11.42	1479930	3462412	C++	LeRenard	
1	5.02	3864897	3485866	Javascript	qb45	
0	19.01	4120837	3458666	C++	philipplenk	
0	18.53	311035	3497794	Python3	leojean890	
0	17.41	3444208	3429409	Java	Anatoli	
0	17.17	2202771	3464506	Java	Kaplone	
0	14.42	792813	3437578	Python3	VilBoub	
0	13.37	1966319	3461298	Ruby	0x6E0FF	
0	9.74	1412263	3410937	PHP	PatrickMcGinnisII	
0	9	3721214	3415864	C++	jrke	
0	9	3354337	3409960	C++	Westicles	
0	8.5	3727018	3457936	Python3	Guizmol	
0	6.76	4198149	3455046	Python3	Sarx	
0	5.86	1859646	3458928	F#	AlWerewolf	
0	3.99	4227075	3460795	Java	Ordonnateur	
0	2.89	3569066	3455552	Python3	derjack	
0	2.69	1713174	3413339	Python3	BigUP	
0	2.64	3567321	3467613	Python3	TPhilippe	
0	2.62	3675146	3455307	Python3	Laughing.Boss	
0	2.18	2043908	3449974	D	AntiSquid	
0	1.71	1341520	3414715	Java	egaetan	
0	-4.21	3267572	3468256	C#	Nenos	
0	-12.96	764093	3462476	Python3	Melf	
