League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=21,time=2020-04-28 00:30:03
1	43.05	2924895	2837121	C	trictrac	
1	42.1	1489865	2835088	C++	EricSMSO	
1	39.11	2288263	2837086	Rust	dbdr	
1	33.95	1880319	2836871	C++	WildSmilodon	
1	29.33	1378958	2836148	C#	Illedan	
1	26.42	1500515	2833780	C#	eulerscheZahl	
1	24.24	862919	2836322	C++	Astrobytes	
1	23.86	880353	2806908	C++	zasmu	
1	23.34	1713174	2836327	Python3	BigUP	
1	22.11	3343665	2835250	Rust	Quidome	
1	15.44	2290633	2832303	Python3	field3	
0	25.56	218189	2836546	Python3	[CG]Maxime	
0	21.01	3274956	2822487	C++	LeProfesseur	
0	20.8	3165536	2835866	C++	barbora	
0	20.01	311035	2829642	Python3	leojean890	
0	17.81	2069141	2827471	C#	tomeko	
0	11.65	1740037	2830385	Scala	ereiam	
0	9.79	3136787	2832651	Java	jacek	
0	6.15	523846	2808955	C#	Palmipedus	
0	4.57	2043908	2800922	D	AntiSquid	
0	3.68	3533119	2832388	TypeScript	wlesavo	
