League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=13,time=2020-02-27 00:30:03
0	38.95	1489865	2662622	C++	EricSMSO	
0	34.34	2924895	2654056	C	trictrac	
0	28.19	1479930	2653873	C++	LeRenard	
0	25.84	2290633	2688720	Python3	field3	
0	23.76	1029602	2674309	C	Potemkine	
0	23.37	1412263	2657139	PHP	PatrickMcGinnisII	
0	19.89	1427078	2665841	Dart	ToshiTuringMachine	
0	16.59	371603	2678783	Ruby	martin	
0	13.54	2069141	2672900	C#	tomeko	
0	11.2	1740037	2677922	Scala	ereiam	
0	8.39	1713174	2656274	Python3	BigUP	
0	6.39	2043908	2654117	D	AntiSquid	
0	4.72	1830993	2657159	C#	jpcheck	
