League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=269,time=2020-05-02 01:37:55
1	38.44	832306	2264157	C++	pb4	
1	37.81	1400179	2248525	C++	reCurse	
1	36.8	1169499	2273347	C++	naab	
1	36.05	1378958	2258455	C#	Illedan	
1	36.01	154984	2684762	C++	_Royale	
1	35.94	1061242	2305980	C++	chucknorris	
1	35.44	1629259	2604800	C#	Marchete	
1	34.12	1314316	2249861	C++	jolindien	
1	32.97	2590149	2430077	Python3	GoofyGas	
1	32.55	1029602	2504807	C	Potemkine	
1	31.55	3156706	2487411	Java	ktotam	
1	31.46	1480384	2248559	C++	RockyMullet	
1	31.45	1464932	2251350	Java	Tiramon	
1	31.18	3447075	2469847	C++	BensonXD	
1	31.1	1436776	2248524	C++	BrainSolver	
1	31.04	3337117	2458591	Python3	timbersson	
1	31.01	2649448	2322615	C++	bhloodyy	
1	30.79	1849945	2471815	C++	YOuOY	
1	30.71	1747292	2248546	Swift	CodeReaper	
1	30.67	2972662	2259065	C++	Hoyer	
1	30.65	3406947	2453683	C++	2106HU1014	
1	30.63	1225445	2457107	C#	Lentaq	
1	30.6	1854246	2312536	C++	Counterbalance	
1	30.53	3386451	2428531	C#	Stetowns	
1	30.5	3217628	2266849	C++		
1	30.45	420043	2454958	Javascript	maxim_mazurok	
1	30.45	1751832	2259008	C++	buikikaesu	
1	30.43	1500515	2254045	C#	eulerscheZahl	
1	30.38	2360690	2253470	C++	Galrauch	
1	30.38	311035	2680097	Python3	leojean890	
1	30.38	2661589	2455713	F#	LePelicanFushia	
1	30.35	3447096	2468415	C++	Zeng	
1	30.25	3236708	2454970	Javascript	Gaetsd	
1	30.24	3356739	2417162	Lua	MouseCaneta	
1	30.22	825505	2471352	Python3	MGhayour	
1	30.13	3421800	2495202	C#	Ackherst	
1	30.12	2637036	2478674	Python3	KaNuNe	
1	29.92	1060181	2250459	Ruby	Dabou	
1	29.8	1694898	2441766	C++	tcchiang	
1	29.79	416762	2695149	TypeScript	Khao	
1	29.62	2771065	2463421	C++	JHBonarius	
1	29.6	2924895	2660855	C	trictrac	
1	29.46	1481544	2263226	C++	ZarthaxX	
1	29.46	3432180	2475387	C++	TestFon	
1	29.39	1442750	2498736	Javascript	GwadaKing	
1	29.38	3148666	2248512	C#	eaarslew	
1	29.33	2007852	2249345	Go	Zorg1	
1	29.24	1479930	2693635	C++	LeRenard	
1	29.19	1371420	2331095	Rust	FerrusDude	
1	29.18	2288263	2248508	Bash	dbdr	
1	29.09	1607251	2248535	Javascript	baboulaf	
1	28.99	3101644	2433420	Java	HerrHagner	
1	28.98	3414481	2453443	Python3	Siik	
1	28.86	3170005	2251737	Python3	Gruja96	
1	28.84	1928385	2468339	C++	NanNanNan	
1	28.82	792813	2304214	Python3	VilBoub	
1	28.82	2797964	2634982	Java	BorisH	
1	28.73	1584802	2248501	Python3	emh	
1	28.71	1530429	2255009	Kotlin	Michiel	
1	28.63	2290633	2248514	Python3	field3	
1	28.51	1572888	2305701	Python3	DirtyHarry	
1	28.49	2923506	2680527	C++	darkhorse64	
1	28.48	3117057	2248556	C#	mbaldwinsmith	
1	28.45	1389623	2290787	Javascript	dgomes	
1	28.45	1412263	2248498	PHP	PatrickMcGinnisII	
1	28.44	1540478	2248504	C++	struct	
1	28.41	3406935	2446134	C++	2016HU1003	
1	28.41	1673512	2304568	C++	Ryoken	
1	28.37	862919	2696742	C++	Astrobytes	
1	28.34	1288527	2311267	C++	Snef	
1	28.25	2202771	2463395	Java	Kaplone	
1	28.23	1077559	2251833	Java	PhOeNyX	
1	28.18	3447180	2468450	C++	frank911127	
1	28.18	1418821	2248527	C++	input.txt	
1	28.17	2636264	2249041	Python3	mattdeal	
1	28.12	3447100	2468471	C++	jnfr	
1	28.12	1547267	2316629	C++	Wariie12	
1	28.09	1861258	2248503	Go	Nazdhun	
1	27.93	3447092	2469937	C++	iStealFox	
1	27.88	3447077	2468454	C++	Aunt	
1	27.84	3406933	2479663	C	2016HU1019	
1	27.69	2170370	2456942	C#	Rasmus-BLind	
1	27.6	2769647	2248523	Java	RiffShark	
1	27.3	1125115	2698276	C#	RafaelSan	
1	27.29	837350	2591296	Python3	BorisZ	
1	27.29	1815583	2456512	C++	HarderTilt	
1	27.24	1518015	2635195	C++	peterzheng	
1	27.18	3051977	2407990	Python3	GohYongJing	
1	27.18	788361	2253020	C++	Bob	
1	27.17	257832	2252796	C++	BlaiseEbuth	
1	27.14	1934314	2574046	Java	Leech2120	
1	27.07	3309506	2453554	C#	Apofiz	
1	27.06	314562	2309428	Javascript	Mechar	
1	27.05	1740037	2700071	Scala	ereiam	
1	27.04	862498	2248547	C++	Graviton_Noir	
1	27.04	3406943	2448600	C	2106HU1012	
1	27.03	3406918	2457969	C	2106HU1013	
1	26.98	854169	2248558	C++	Silmaen	
1	26.97	3248252	2290341	C#	sergiotanque	
1	26.96	3406936	2449249	C++	2106HU1005	
1	26.95	3406941	2452792	C++	2016HU1008	
1	26.9	2448432	2256700	Python3	Tantrum	
1	26.86	3335921	2459686	Kotlin	vcoubray	
1	26.82	3447091	2629807	C++	osu	
1	26.77	1876212	2248530	Python3	PFischbeck	
1	26.75	3256267	2290776	Groovy	dealmeida17	
1	26.63	3145868	2456717	Java	anybod	
1	26.46	2450542	2254798	C++	MindControler	
1	26.42	1272263	2263853	Python3	Caled	
1	26.01	1958109	2688973	Python3	0x5eba	
1	25.98	2055377	2254063	Python3	Covfefe	
1	25.89	1525816	2255329	Javascript	Flodnes	
1	25.88	3118570	2256675	C++	Razovsky	
1	25.85	1013463	2586848	Python3	Lachrymosa	
1	25.8	2497890	2262231	C#	BlackBird	
1	25.78	888898	2689061	C++	helgui	
1	25.76	3447108	2468484	C++	Pixeleston	
1	25.7	3406913	2442925	C		
1	25.44	1333869	2258640	Python3	kiwijam	
1	25.43	2690279	2342799	Python3	Xicu	
1	25.26	419072	2463750	Kotlin	frikadelki	
1	25.23	2586078	2455982	Java	tanuco	
1	25.11	3470347	2502969	Python3	JeanMax	
1	25.11	1981732	2253776	F#	MJS	
1	25.06	3406940	2461990	C++	2016HU1016	
1	25.04	1457162	2248522	C++	JFB	
1	25	783555	2456594	C#	Colin88	
