League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=28,time=2021-09-13 00:30:03
2	30	2924895	3731710	C	trictrac	
2	25.05	3533314	3690947	C#	skotz	
2	23.61	311035	3695070	Python3	leojean890	
2	20.5	3721214	3693848	Python3	jrke	
1	26.68	2290633	3693091	Python3	field3	
1	24.44	3983017	3701557	PHP	TLbuis	
1	23.63	1412263	3693836	PHP	PatrickMcGinnisII	
1	22.67	973040	3703906	F#	papyjo	
1	21.02	3922731	3699611	Scala	Dartisan	
1	19.85	4088387	3691265	C#	StrykrJ	
1	19.8	1479930	3708862	C++	LeRenard	
1	18.41	2923506	3811617	C++	darkhorse64	
1	18.31	2325449	3758383	Perl	otpv	
1	17.66	4177562	3811588	C#	JHowell	
1	17.25	3136787	3811589	C++	jacek	
1	16.9	1713174	3811551	Python3	BigUP	
1	16.86	3569066	3811550	Bash	derjack	
1	16.28	3536920	3811548	Python3	mapapin	
1	16.23	3803201	3690748	Java	FDA44	
1	16.1	3354337	3692477	C#	Westicles	
1	15.81	4279233	3698653	Python3	Alex-1	
1	15.57	3420134	3811451	Python3	KelvinAndHubbles	
1	14.79	3141948	3698320	Python3	philRG	
1	14.79	3513265	3698650	C++	DaNinja	
1	11.02	4475569	3811590	Javascript	5raey	
0	19.31	490588	3691434	Python3	Uljahn	
0	17.72	2043908	3691345	C++	AntiSquid	
0	16.78	1487502	3811586	VB.NET	natehaze	
