League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=515,time=2020-10-31 04:42:27
5	33.77	2725066	2311007	C#	Cize	
5	32.17	1314316	2223882	C++	jolindien	
5	32.11	854952	2245515	C++	dolmen1234	
5	30.91	1629259	2583704	C++	Marchete	
5	30.27	2522090	2223884	C++	MSmits	
5	29.69	154984	2223861	C++	_Royale	
5	29.4	1061242	2242073	C++	Csipcsirip	
5	28.42	1022925	2223870	C++	Adrien.	
5	28.24	331880	2235217	C++	Monstruo	
5	27.96	2350846	2223885	C++	DrBloodmoney	
5	27.85	1372349	2223865	Java	NinjaDoggy	
5	27.43	1415495	2223881	C	fenrir	
5	27.35	3871137	3103924	Kotlin	Fuud	
5	26.93	1607522	2223859	C++	RoboStac	
5	26.65	1029833	2223862	C++	tourist	
5	26.37	1106450	2223845	C++	RiSuS	
5	25.69	1500515	2223871	C#	eulerscheZahl	
5	25.58	820000	2223883	C++	ValGrowth	
5	25.18	351062	2223886	C++	Neumann	
5	25.03	837350	2223848	Go	BorisZ	
5	24.75	1321710	2254287	C++	Swagboy	
5	24.74	2718975	2311445	C	mykeich	
5	24.72	805067	2599436	C++	Magus	
5	24.08	1854246	2223873	C++	Counterbalance	
5	23.96	381613	2223877	C++	Hadou_	
5	23.8	2288263	2223851	Java	dbdr	
5	23.6	1818159	2223846	C++	JRFerguson	
5	23.5	1869024	2309352	Java	Xa2017	
5	23.37	1206537	2223868	C++	MadKnight	
5	23.18	2970414	2599458	Python3	Fangel	
5	23.18	524638	2223867	C++	miklla	
5	23.12	1479930	2307601	C++	LeRenard	
5	23.08	2906497	2223849	C++	daaskare	
5	23.03	3060932	2585625	Java	boumagik	
5	22.94	1034635	2223854	C++	SlyB	
5	22.63	2924895	2223857	C	trictrac	
5	22.57	1335230	2316806	C++	jft63	
5	22.56	2741162	2223875	Kotlin	YannT	
5	22.33	1756952	2223863	C++	Petras	
5	22.03	3165536	2697061	C++	barbora	
5	21.95	507383	2223889	C++	Vadasz	
5	21.8	1987751	2223866	C++	ruu	
5	21.79	1336504	2223872	Java	cadaver	
5	21.59	610934	2265471	C++	y_kawano	
5	21.56	1487392	2223847	Java	Razielwar	
5	21.41	1601217	2245987	C++	Heide	
5	21.1	1944726	2223890	C++	bourgeof	
5	20.88	2077805	2223874	C++	bamilan	
5	20.58	1489865	2223887	C++	EricSMSO	
5	20.56	154388	2223879	C++	PonyPonyCodeCode	
5	20.52	1076583	2223850	C++	olimago	
5	20.37	1531874	2225742	Java	Raven_Darkhold	
5	20.35	1178656	2223878	Go	fmhr	
5	20.18	3031573	2224050	Java	aghiles	
5	20.17	815488	2223891	Java	Seti	
5	20	893541	2654811	Java	wala	
5	19.66	1957077	2240357	Java	domak	
5	19.56	1341520	2223856	C	egaetan	
5	19.36	2923506	2229437	C++	darkhorse64	
5	19.3	734401	2599444	C++	b0n5a1	
5	19.28	586565	2639206	C#	Dedoo	
5	19.16	2510531	2228427	Python3	Jamproject	
5	18.96	1333869	2225743	Python3	kiwijam	
5	18.93	512097	2223888	Haskell	Stilgart	
5	18.74	1898847	2223892	C	faga	
5	18.7	2311105	2668742	C++	kovi	
5	18.57	153683	2319911	Java	40R15T3	
5	18.4	880353	2309287	C++	zasmu	
5	18.32	873958	2225741	C#	cheeser	
5	18.22	155896	2980961	PHP	gamoul	
5	18.11	2792232	2230123	Python	Monoterpene	
5	17.73	1059313	2223893	C++	_SERGE_	
5	17.7	2907009	2625739	C#	Arnaud.Net	
5	17.52	1754295	2265472	C++	SF	
5	12.03	1827748	2262615	C#	Guus	
5	9.08	1378958	2311366	C#	Illedan	
4	28.92	186179	2215369	C++	Nagrarok	
4	27.23	1757536	2822463	Python3	BlueGhost31	
4	26.83	1479137	3089300	C++	lorenzods	
4	26.56	1071140	2215329	C#	BeberLeNewbie	
4	26.54	754792	2215362	C++	Ramdeath	
4	26.34	925695	2679629	OCaml	Boulet	
4	25.22	2043908	3148558	C++	AntiSquid	
4	25.21	1427078	2216534	Java	ToshiTuringMachine	
4	25.17	1893989	2215371	Python3	Rosstherock	
4	24.29	1457162	2215268	C++	JFB	
4	24.22	1830625	2215323	C++	-Rutger-	
4	23.91	1330431	2215358	Javascript	TzeKin	
4	23.42	1498163	2420335	Java	Ben-oit	
4	23.4	1772240	2239347	C#	Wazabis	
4	23.37	981878	2215356	Java	nicolasD	
4	23.31	892056	2218699	Java	LaurentTrk	
4	23.25	2021126	2492440	C	FPSCUBE	
4	23.24	969333	2309689	C++	JasperV	
4	23.23	155091	2311054	Java	smeagol	
4	23.13	1673512	2215336	C++	Ryoken	
4	23.13	1001096	2215269	C#	MyIIone	
4	23.04	3040749	2218239	Kotlin	gk12345	
4	22.91	1049935	2225415	C++	Azkellas	
4	22.85	2950376	2244604	C++	MarKes	
4	22.8	1783604	2215251	C	Vry	
4	22.8	196808	2215350	C++	bonam	
4	22.77	1880319	2215327	C++	WildSmilodon	
4	22.77	841085	2215360	C#	Risen	
4	22.73	886483	2222274	C	R4N4R4M4	
4	22.62	1796161	2215322	Python3	Xiema	
4	22.55	2993705	2215295	C++	Alf802	
4	22.43	1606614	2259541	C#	Wazaa	
4	22.34	881037	2236722	Java	Amadeuszx	
4	22.34	416762	2410919	Javascript	Khao	
4	22.31	2086052	2215365	C#	Lks10	
4	22.22	1238934	2310710	C++	accorp	
4	22.21	2968035	3083180	C++	DomiKo	
4	21.95	3640479	3059766	C++	Draxodia	
4	21.89	1631057	2215359	C	Pask	
4	21.46	1760921	2215241	Kotlin	[Leonardone]-[-_-]-[NEETSDKASU]	
4	21.4	2450542	2630815	C++	MindController	
4	21.38	928567	2589137	C++	Konstanta	
4	21.31	2972662	2215291	C++	Hoyer	
4	21.3	1876721	2215273	C++	poInT	
4	21.28	2600493	2215312	Java	SuperNit	
4	21.2	1399688	2215351	Go	jeyries	
4	21.17	1791118	2459825	C++	Baboune251	
4	21.13	1962401	2215361	C#	Mackhdo	
4	21.02	1060181	2215272	Ruby	Dabou	
4	21.02	2002555	2215334	C#	MAXN	
4	21.02	2786666	2221638	C++	TetraktysPhi	
4	20.99	1093968	2228377	C++	milosMATRIXrepic	
4	20.98	2894347	2610529	Rust	efugier	
4	20.98	155774	2223998	C++	dwarfie	
4	20.87	802171	2215245	PHP	Merome	
4	20.85	1568785	2215280	C	Chalzy	
4	20.77	862919	2694689	C++	Astrobytes	
4	20.34	2470677	2215304	Python3	Goujon	
4	20.23	3742936	2829935	Python3	David26	
4	20.16	973888	2215243	Python3	Achleole	
4	20.12	1416686	2215337	C#	Avatar256	
4	20.04	3042083	2215249	C++	codalf	
4	19.94	1201796	3023379	C#	P.Greze	
4	19.86	2944631	2215253	Python3	Aseed	
4	19.76	2386035	2579390	C++	Samsonov	
4	19.72	1183644	2215248	C++	Donotalo	
4	19.54	788361	2215254	C++	Bob	
4	19.54	209372	2246168	C++	quinqua59	
4	19.53	1931039	2215283	C#	MooMooN	
4	19.46	2123423	2215287	PHP	splanard	
4	19.41	1479236	2215240	C++	Syj	
4	19.29	958227	2215288	Python3	LantarSidonis	
4	19.22	2490008	2215250	C++	ebicochineal	
4	19.15	735487	2215246	C++	amurushkin	
4	19.13	1715243	2215321	C#	Zerfa	
4	19.12	1518732	3116963	Java	Apfeloxid	
4	19.07	3002969	2215331	Python3	Porsuk	
4	19.04	2122087	2215276	C++	RENZOU	
4	19.02	1050490	2215318	C#	Snark_Chaser	
4	18.96	2141506	2215340	C++	Jamesscn	
4	18.95	2233676	2215290	Python3	cleanrock	
4	18.9	1230796	2215247	C++	YanshinAlex	
4	18.79	3056815	2464156	C#	Nitor	
4	18.79	1753077	2215237	C++	codingWhale	
4	18.75	1876212	2215367	C++	PFischbeck	
4	18.66	1759839	2215309	Python3	matleg	
4	18.65	153057	2215314	PHP	PierralF	
4	18.6	2007852	2237902	Go	Zorg1	
4	18.57	2590081	3111925	C++	Eris_C	
4	18.3	1792532	2311659	C#	Zanbez	
4	18.29	1740037	2679433	Scala	ereiam	
4	18.22	2242201	2304875	C++	Maryan	
4	18.06	1163546	2215275	C#	Pyou	
4	18.06	3264942	2637810	C#	maskit	
4	18.01	2897325	2217210	Python3	CAEZAR	
4	17.98	198916	2223957	Java	WhatTrickeryIsThis	
4	17.95	2571540	2679644	Python3	Nagatwin	
4	17.95	1966319	2215343	Ruby	0x6E0FF	
4	17.9	1464932	2215316	Java	Tiramon	
4	17.87	568476	2218030	Java	Dje54	
4	17.84	1831684	2237830	Java	dbf	
4	17.74	2716329	2215349	Python3	Recher	
4	17.72	1932868	2215347	C++	Tehelka	
4	17.68	1727322	2304338	Python	pyjama	
4	17.56	1449433	2692876	C++	Rolf	
4	17.54	2387233	2215286	C#	SinOfWrath	
4	17.52	1734105	2228972	C++	Bibou	
4	17.48	1572888	2217329	Python3	DirtyHarry	
4	17.25	2255945	2228381	C++	PoppyTrail	
4	17.22	1607572	2317264	C++	okayun	
4	17.02	1336653	2215282	PHP	Bugi	
4	16.94	1616071	2304873	Java	Cyberpunk	
4	16.94	2622559	2246273	Javascript	Gripnil	
4	16.93	224676	2310156	Java	Jin66	
4	16.86	1443075	2215647	C++	Wolfy82	
4	16.85	1661333	2215271	C++	linjoehan	
4	16.84	2006324	2617250	C#	SihardeOussama	
4	16.84	218189	2228379	Python3	[CG]Maxime	
4	16.81	371603	2217209	C++	martin	
