Comp.	Score	UserID	Lang	Pseudo	#optim,count=761,time=2022-02-13 00:36:19
100	62564496	2288263	Rust	dbdr	
100	59353552	154984	C++	_Royale	
100	59353524	765200	Rust	FrancoisB	
100	59353464	3457031	C++	YurkovAS	
100	59353440	3354337	C++	Mrs.GloriaZindlebocker	
100	59353048	1336464	C++	magaiti	
100	58727648	735487	C++	amurushkin	
100	58266452	3012238	C++	miszu	
100	57212812	351062	C++	Neumann	
100	56971532	3319855	C#	Drobor	
100	56714844	1344487	C++	UnnamedCodinGamer	
100	56705576	2923506	C++	darkhorse64	
100	56679460	2311105	C++	kovi	
100	56228180	1378958	C#	Illedan	
100	56158848	3533119	C++	wlesavo	
100	55101288	893541	Java	wala	
100	54242784	2968035	C++	DomiKo	
100	54182244	1500515	C#	eulerscheZahl	
100	49549220	860404	C++	Vitruvius	
100	47465840	1709070	Rust	platypus999	
100	46940352	3918583	Rust	mikmak	
100	46719868	3348388	C++	bowwowforeach	
100	44399992	1436776	C++	BrainSolver	
100	41685408	1469666	C++	alenic	
100	41511628	1114834	C++	k4ng0u	
100	31973904	224325	Go	TidyMaze	
100	30369632	2924895	C++	trictrac	
100	27896492	490588	Python3	Uljahn	
100	27075256	820000	C++	ValGrowth	
100	26616720	2786666	C++	TetraktysPhi	
100	26397652	1399382	C++	Regulus136	
100	26023244	1178276	Java	Jerome_95	
100	25604456	4081634	Java	Wontonimo	
100	24972856	4584723	C++	babaaurhum	
100	24748316	3337117	Rust	timbersson	
100	22268052	1169264	C++	moarrrr	
100	22235932	4648805	C++	LordOfElements	
100	21068732	1050421	Java	geppoz	
100	20105044	4208158	Python3	Tiouz	
100	19365776	331880	Kotlin	Monstruo	
100	19127616	1549145	C++	Mealc	
100	18704804	3136787	C++	jacek	
100	18131096	329200	C++	BlitzProg	
100	17742928	3647844	C++	rc95401	
100	17206600	3971358	C++	OldJohn	
100	16504096	3919068	C++	14598366	
100	16393216	972894	C++	resty-daze	
100	15815952	1152991	C#	xoposhiy	
100	15247188	2416641	C++	Zenoscave	
100	14686960	1323814	C	Wildcat-SC	
100	14545024	1256312	C#	Djoums	
100	14498556	1050420	C++	boi_led_egg	
100	14072088	1732414	C++	ClosetAI	
100	13806456	3343665	Rust	Quidome	
100	13516584	2451652	Java	code_of_the_dead	
100	12526428	1838549	Rust	orangesnowfox	
100	12046356	3564009	Lua	Waffle3z	
100	11486744	2837654	C++	R2B2	
100	10989500	1630890	Java	Wld	
100	10745408	3839774	Rust	gurvan_lullien	
100	10404892	3173494	Java	WKDE	
100	10374164	3721214	C++	jrke	
100	10183760	1861258	Rust	Nazdhun	
100	10013012	3726978	C++	VirtualAtom	
100	9607648	416894	C++	MeDev	
100	9282440	3305510	PHP	TBali	
100	8844524	4119186	C#	Rxelux	
100	8693156	1952778	Go	blast_beat	
100	8607268	3898813	C++	3ifndef	
100	8494736	311035	Go	leojean890	
100	8305688	1515891	Go	ndc	
100	8184664	155774	C++	dwarfie	
100	7942720	3060932	Java	boumagik	
100	7932432	1335230	C++	jft63	
100	7458284	524638	C++	miklla	
100	7399092	3697689	Rust	MrSkaal	
100	7365316	1314316	C++	jolindien	
100	7354144	952784	C++	[CG]Simon	
100	7200680	3335896	C++	_martynas	
100	7040396	512097	C++	Stilgart	
100	6741832	3927891	C++	whywhy_	
100	6722180	3996809	C++	VizGhar	
100	6638148	992329	Java	BeeGee	
100	6260476	1883740	C++	kermo	
100	6181796	4482661	C++	square1001	
100	6165368	4537924	Rust	ArtesScytale	
100	6040172	1638419	Java	Quent21	
100	5769228	3826720	C++	Noppo	
100	5518472	884874	D	Zauberer	
100	5059552	2405889	Kotlin	Saivo	
100	5005228	4205154	C++	tuna_in_cream	
100	4966560	1162014	Java	Bojan	
100	4834488	4672487	TypeScript	inem	
100	4731152	3738782	C#	Inaniwa	
100	4658788	3165536	C++	barbora	
100	4551296	2258829	C#	Hiker	
100	4354272	1566335	Java	BeardedWhale	
100	4235476	1719856	PHP	YOANN	
100	4049156	4027292	C#	rmait	
100	4003632	1807733	Python3	NoZ-	
100	3825460	1854246	C++	Counterbalance	
100	3668428	3817827	Go	optplx	
100	3488032	3754066	C++	jast.e.new.name	
100	3455812	4120837	C++	philipplenk	
100	3379696	2340294	C	deviluc	
100	3349920	2043908	C++	AntiSquid	
100	3237600	1693448	C	KoenduBuf	
100	3094748	1489865	C++	EricSMSO	
100	3073904	2438514	C++	davi_bart	
