Comp.	Score	UserID	Lang	Pseudo	#optim,count=1085,time=2021-10-12 00:59:16
100	11920	2077805	C++	bamilan	
100	11902	2288263	Rust	dbdr	
100	11787	2500089	C++	Fantomat75	
100	11774	351062	C++	Neumann	
100	11724	1169499	C++	naab	
100	11710	1500515	C#	eulerscheZahl	
100	11381	1530051	C++	UlYoP	
100	11369	2968035	C++	DomiKo	
100	11360	1333869	Python3	kiwijam	
100	11243	2416641	Bash	Zenoscave	
100	11196	1029833	C++	tourist	
100	11139	820000	C++	ValGrowth	
100	11102	2924895	C	trictrac	
100	11057	154984	C++	_Royale	
100	11009	1001096	C#	MyIIone	
100	10984	1082988	C++	Saelyos	
100	10969	1783604	C	Vry	
100	10767	338469	C++	__mcts__	
100	10744	153774	C++	cocoche007	
100	10699	934381	C++	PolyB	
100	10694	1684486	C++	Whopper	
100	10691	1452472	C++	Daporan	
100	10650	3918583	Rust	mikmak	
100	10611	2311105	C++	kovi	
100	10547	1114834	C++	k4ng0u	
100	10529	1335230	C++	jft63	
100	10286	2923506	C++	darkhorse64	
100	10272	2316796	PHP	Psio	
100	10269	3457031	C++	YurkovAS	
100	10262	893541	Java	wala	
100	10241	1344487	Java	UnnamedCodinGamer	
100	10238	1637604	C++	avolchek	
100	10203	1629259	C#	Marchete	
100	10200	1489865	C	EricSMSO	
100	10195	2907009	C#	Arnaud.Net	
100	10178	580424	C++	siman	
100	10147	1836058	C++	SeebOmega	
100	10145	1479930	C++	LeRenard	
100	10115	1399382	C++	Regulus136	
100	10112	1607522	C++	RoboStac	
100	10108	1822184	Pascal	Volchik	
100	10103	735487	C++	amurushkin	
100	10088	1064903	C++	Ghirtor	
100	10032	331880	C++	Monstruo	
100	9997	2731276	C++	panda42	
100	9900	3647844	C++	rc95401	
100	9862	1314316	C++	jolindien	
100	9856	892056	Java	LaurentTrk	
100	9805	311035	Python3	leojean890	
100	9803	1180157	C++	shindannin	
100	9802	806157	C++	Aveuh	
100	9800	1436776	C++	BrainSolver	
100	9777	2386035	C++	Samsonov	
100	9757	2043908	C++	AntiSquid	
100	9737	2242201	C++	Maryan	
100	9702	1106450	C++	RiSuS	
100	9659	2350846	C++	DrBloodmoney	
100	9659	3463517	C++	jackoneill	
100	9601	1194069	Java	Redstrike	
100	9592	1378958	C#	Illedan	
100	9589	2436448	Java	FrancoisMeme	
100	9588	1352413	C++	Bikibi	
100	9573	1854246	C++	Counterbalance	
100	9539	1760921	Go	[Leonardone]-[-_-]-[NEETSDKASU]	
100	9535	1457162	C++	JFB	
100	9522	1304841	C++	NitMpez	
100	9515	2007852	Go	Zorg1	
100	9510	2158902	C++	Snowbart	
100	9478	1481043	C++	Kyrosh	
100	9471	841085	C#	Risen	
100	9452	1971865	C++	Nanosplitter	
100	9408	1203167	C++	r3versi	
100	9393	155939	C++	xylo	
100	9358	805067	C++	Magus	
100	9312	1631432	C++	freecode	
100	9224	939530	Java	Jahz	
100	9194	3380514	Java	DFrese	
