Comp.	Score	UserID	Lang	Pseudo	#optim,count=245,time=2022-02-24 00:44:04
100	1596	3918583	Rust	mikmak	
100	1675	2288263	Rust	dbdr	
100	1677	1944090	C#	spaceorc	
100	1741	1399382	C#	Regulus136	
100	1771	1169499	C++	naab	
100	1796	2069141	C#	tomeko	
100	1944	2043908	D	AntiSquid	
100	1964	331880	C++	Monstruo	
100	1966	1114834	C++	k4ng0u	
100	1982	2785892	Python3	levbor	
100	1993	3354337	C++	StraumliPerversion	
100	2064	1500515	C#	eulerscheZahl	
100	2089	3983017	PHP	TLbuis	
100	2148	3741524	C	princess_of_zeal	
100	2208	1001096	C#	MyIIone	
100	2243	1436776	C++	BrainSolver	
100	2274	2311105	C++	kovi	
100	2301	2510531	Python3	Jamproject	
100	2342	2924895	C	trictrac	
100	2364	1687754	Java	cg123	
100	2369	888898	C++	helgui	
100	2378	3203557	Python3	burnpanck	
100	2382	1378958	C#	Illedan	
100	2383	820000	C++	ValGrowth	
100	2406	3594074	C++	jopo	
100	2410	1518732	Java	Apfeloxid	
100	2410	155774	PHP	dwarfie	
100	2411	2455616	Java	JeanClaude44	
100	2427	2968035	C++	DomiKo	
100	2457	440476	C++	yowa	
100	2472	841085	C#	Risen	
100	2483	2638020	C#	ja_fica	
100	2486	3343665	Rust	Quidome	
100	2533	4216789	C	Saur2000	
100	2539	2786666	C++	TetraktysPhi	
100	2574	1525821	C#	Jeroo	
100	2638	759147	C++	kisszots	
100	2815	2555066	Python3	dyc3	
100	2817	3480498	Java	BenPix	
100	2852	924425	Javascript	poney	
100	2865	992329	C++	BeeGee	
100	2911	3647844	Python3	rc95401	
100	2934	2522090	C++	MSmits	
100	3046	4526264	Python3	cly	
100	3054	614215	Java	Jo	
100	3197	1152991	C#	xoposhiy	
100	3204	1457162	Python3	JFB	
100	3271	3305510	PHP	TBali	
100	3359	3465661	TypeScript	Thiesjoo	
100	3474	311035	Python3	leojean890	
100	3626	512097	Haskell	Stilgart	
100	4276	894599	Java	DidierC	
100	4438	3457031	C++	YurkovAS	
100	4886	668906	Kotlin	Sandworm	
100	4886	3406987	C#	Radu_Sav	
100	4886	1787026	Java	xurei	
100	4886	4205154	C++	tuna_in_cream	
100	4886	1567943	Python3	LazyMammal	
100	4886	3382273	C++	hasleron	
100	4900	1883740	C++	kermo	
100	5202	2104815	Python3	MaTMaT	
100	5940	1333869	Python3	kiwijam	
100	6128	3317508	Javascript	m4683	
100	6332	3271550	C++	Eggface	
100	6615	3518006	Python3	mvpnek	
96.66666666666669	4713	2051334	C++	Dwarth	
96.66666666666669	9789	4142307	Python3	Editsira	
86.66666666666667	5025	1364612	Python3	jbressand	
83.33333333333333	4057	1740037	Scala	ereiam	
83.33333333333333	4325	1684020	Python3	tom_	
80	3178	569247	Python3	LaurentBouvier	
76.66666666666667	2585	1484839	Go	sparky	
73.33333333333333	3730	1910916	C#	VivienBillot	
63.333333333333336	3703	3494301	Python3	CoreyCV	
56.666666666666664	4279	3235896	Java	Fenz	
53.333333333333336	1283	3226448	Python3	tobk	
46.666666666666664	2652	1572888	Python3	DirtyHarry	
46.666666666666664	2689	631323	Python3	herve056	
33.333333333333336	4600	704875	C#	XaY	
30	1423	962569	C++	[K]Gabor	
30	1456	868896	Python3	Arn	
