Comp.	Score	UserID	Lang	Pseudo	#optim,count=415,time=2022-10-16 00:37:37
100	62937	2288263	Rust	dbdr	
100	62936	977117	C++	Psyho	
100	62932	2077805	C++	bamilan	
100	62931	820000	C++	ValGrowth	
100	62925	4341304	C++	Remi.	
100	62906	3903473	Python3	Konstant	
100	62885	4257906	Rust	NotSureWhyThisWorks	
100	62454	3918583	Rust	mikmak	
100	61776	1344487	C++	UnnamedCodinGamer	
100	61771	1537951	Java	Nerchio	
100	61674	3902927	Python3	Bulgot	
100	61250	2311105	C++	kovi	
100	60348	3647844	Python3	rc95401	
100	59793	4399833	C++	Peterpanda	
100	58458	4277867	D	About	
100	58209	792813	Python3	VilBoub	
100	57323	2786666	C++	TetraktysPhi	
100	55960	2962968	C#	Pukunya	
100	55612	1081827	Python3	[CG]MathisHammel	
100	55550	2924895	C	trictrac	
100	55236	4182831	Python3	Flaaamort	
100	54108	2923506	C++	darkhorse64	
100	54108	899666	C#	Whykonen	
100	53963	4186453	C#	Audatic	
100	53423	4759510	Python3	Darleanow	
100	53324	2797677	C++	kolph	
100	53297	928567	C++	Konstanta	
100	53209	3376722	Python3	oolivierr	
100	53107	1802967	Python3	Meruem	
100	53092	3749245	Python3	yveslacroix83400	
100	52999	4841063	Python3	Naxus	
100	52969	973040	F#	papyjo	
100	52817	2874091	Python3	5DN1L	
100	52777	2829386	C#	Shaq76	
100	52717	335954	Java	nmahoude	
100	52377	4679461	Python3	K0ub	
100	52347	1861258	Rust	Nazdhun	
100	52285	4275410	Javascript	rk2021	
100	52260	4337092	Python3	Timinator	
100	52076	4281681	TypeScript	BiasInput	
100	51992	4375316	Python3	Flash7	
100	51792	4158692	Python3	All2u	
100	51777	4806550	Python3	Rafarafa	
100	51739	1186250	C#	Gabbek	
100	51538	3398045	Python3	C944594C41	
100	51445	4823073	Python3	davfrv	
100	51228	3496153	Python3	lndshs	
100	51134	2398608	Python3	M_C	
100	50969	1803061	Python3	SmokingJoe	
100	50958	2661980	C++	Leos	
100	50800	4591097	Python3	Gandalfchris	
100	50736	1492048	TypeScript	Karim-	
100	50644	3814292	Python3	Beretta_Vexee	
100	50585	3721362	Python3	Orloh	
100	50431	3173494	Python3	WKDE	
100	50344	4718620	Pascal	Hieronymus	
100	50117	3938395	Python3	Quentin18	
100	49769	3337117	Python3	timbersson	
100	49764	3446473	Javascript	proprofondo	
100	47462	3478673	Javascript	never-again	
100	46933	3772488	Python3	molombo	
100	46685	1684020	Python3	tom_	
100	46407	4811550	Python3	lyconide	
100	44754	2463909	Kotlin	ckobayashi	
100	43390	4974792	Python3	coutinho97	
100	43390	1388952	Scala	Nik95	
100	40285	1111798	Java	lifetimeLearner007	
100	40121	4363997	Python3	BlanchR2	
100	39914	1475413	Javascript	AlucardDH	
100	39081	4451368	Python3	Tsukabishi	
100	38462	3864752	Rust	MuddySneakers	
100	38281	4438822	Python3	ludodul	
100	38112	3742936	Python3	David26	
100	36373	4639401	Python3	Citrate_Bios	
100	36118	992329	C++	BeeGee	
100	35710	3657937	Python3	elderlybeginner	
100	33659	2544989	Javascript	lulugo19	
100	33399	4935021	Python3	MelekElloumi	
100	33003	2110342	Javascript	lchenay	
100	32778	3621947	Python3	vrabosh	
100	32606	935744	C++	Alcalyn	
100	32526	2373953	TypeScript	Dridriun	
100	32386	3457031	C++	YurkovAS	
100	31915	3700629	TypeScript	serialgg	
100	31441	2948040	Javascript	Pouyou	
100	30848	2616395	Javascript	welder	
100	29045	1152991	C#	xoposhiy	
100	28762	1412263	PHP	PatrickMcGinnisII	
100	28611	4935186	Python3	Gabay	
100	28329	3131821	C#	Minejona	
100	26775	2837454	Java	Inc_	
100	26616	4420742	Python3	Mortis_666	
100	26538	848394	Java	schwarzahl	
100	26457	311035	Python3	leojean890	
100	26445	2833929	Python3	pcourrousse	
100	26311	1076716	Python3	OEtzi007	
100	25716	1200604	Java	Alos	
100	25616	1201796	Java	P.Greze	
100	25294	4083405	C++	jzen	
100	24423	4053233	Python3	Tidurus	
100	24236	4526594	Python3	Andeol	
100	24160	3737271	C++	berlioz	
100	24005	314869	Python3	Feromax	
100	23817	4964408	Python3	Macer_CS	
100	23693	4506498	Rust	TimeEngineer	
100	23040	3958580	C++	HITO	
100	22200	2069141	C#	tomeko	
100	22122	3563934	C#	ChuckTheNinja	
100	22027	1380030	C#	norca	
100	22000	924425	Javascript	poney	
100	21966	886483	C	R4N4R4M4	
