Comp.	Score	UserID	Lang	Pseudo	#optim,count=6165,time=2022-06-10 01:02:18
100	2759	1301401	C#	Stanax	
100	2761	1833680	C++	jvivenot	
100	2765	2288263	Rust	dbdr	
100	2792	2316796	PHP	Psio	
100	2793	1485989	Python3	ReActiveNZ	
100	2808	2077805	C++	bamilan	
100	2842	1156834	Python3	dave9000	
100	2850	1399382	C#	Regulus136	
100	2853	1178157	Python3	R_o_l_a_n_d	
100	2897	1333869	Python3	kiwijam	
100	2923	1415495	C++	fenrir	
100	2977	1514534	Java	louis78700	
100	2989	1500515	C#	eulerscheZahl	
100	2999	1323814	Clojure	Wildcat-SC	
100	3004	557990	C++	Wazemo	
100	3027	1039809	C#	Azziliz	
100	3067	2522090	C#	MSmits	
100	3086	977117	C++	Psyho	
100	3101	922880	C#	Leshka	
100	3108	1307473	C++	Evgenykz	
100	3131	1629259	C#	Marchete	
100	3158	735910	C++	Agade	
100	3163	2829386	C++	Shaq76	
100	3172	1001096	C#	MyIIone	
100	3183	820000	C++	ValGrowth	
100	3189	805067	Javascript	Magus	
100	3195	3545248	Kotlin	amkad	
100	3207	841085	C#	Risen	
100	3221	403748	C#	[CG]SaiksyApo	
100	3236	3845610	Python3	pardouin	
100	3238	1477749	C++	Shadeke	
100	3285	3230794	Python3	tutubalin	
100	3290	1136521	C	nadrek	
100	3294	1798477	C#	mnivet	
100	3312	3235897	Java	Zylo	
100	3333	973040	F#	papyjo	
100	3340	2311105	C++	kovi	
100	3347	4270882	Python3	[ron]	
100	3356	154984	PHP	_Royale	
100	3367	806157	Python3	Aveuh	
100	3370	1068877	C#	[CPC]Tamno	
100	3370	371603	C++	martin	
100	3378	1425201	C#	JamesPun	
100	3385	3210529	Pascal	EddyZ	
100	3387	4095128	PHP	Voltmachine	
100	3392	1620803	Perl	Lyapunov	
100	3409	505511	Java	int33h	
100	3413	1244576	Java	PauloVilela	
100	3413	1100752	C++	ValNykol	
100	3415	601054	C++	geza	
100	3425	553938	C++	MagAlex	
100	3428	1952778	Go	blast_beat	
100	3430	3035070	C#	Ipso	
100	3439	1178569	Python3	Azerrr	
100	3445	668954	C++	Fluxor	
100	3449	941713	C	Bloody95	
100	3450	893541	Java	wala	
100	3456	1788003	C++	MIKHAIL_CHESNOKOV	
100	3456	907661	C++	konst	
100	3467	888404	Perl	Intramonk	
100	3477	1878648	Java	jaudo	
100	3480	2436448	Java	FrancoisMeme	
100	3482	2406605	Python3	docri	
100	3485	490905	Python3	lechium06_	
100	3486	1272564	Python3	Raspberry4all	
100	3493	558770	Java	lD	
100	3504	172938	Javascript	kuzmaka	
100	3515	1630890	Java	Wld	
100	3523	311035	Python3	leojean890	
100	3524	155774	PHP	dwarfie	
100	3530	920987	Python3	redna70	
100	3530	2950978	C++	icecuber	
100	3532	1687754	Java	cg123	
100	3534	3586448	Python3	LeoT	
100	3543	918352	Python3	CoYoTe99	
100	3552	1854246	C++	Counterbalance	
100	3553	1131084	C#	pmod	
100	3566	1336464	Perl	magaiti	
100	3568	1822346	C++	Arcaseus	
100	3572	1186250	C#	Gabbek	
100	3575	3700629	Javascript	serialgg	
100	3577	1121543	Scala	Aube	
100	3599	2928146	PHP	LolCat	
100	3612	887560	Java	stok	
100	3613	536400	C++	Atmel	
100	3616	2025868	C++	sumoru	
100	3621	518889	C++	athin	
100	3630	1077559	Java	PhOeNyX	
100	3630	4083537	Javascript	DavidAvsajanishvili	
100	3636	2492576	Python3	nehok	
100	3644	1749055	C#	AndreiBilalov	
100	3645	1457162	Python3	JFB	
100	3646	888898	Javascript	helgui	
100	3648	3939443	C++	Lafihalas	
100	3650	1498442	Javascript	NSzx	
100	3652	1264581	Python3	BenjiIsBack	
100	3653	1034635	C++	SlyB	
100	3653	3903473	Python3	Konstant	
100	3656	225811	Ruby	Inferno285	
100	3659	938374	C#	UnmanagedCode	
100	3671	1675720	C#	AxFab	
100	3680	507383	C#	Vadasz	
100	3684	351062	Java	Neumann	
100	3692	3481994	Python3	nipaC	
100	3696	858602	C++	Suigetsusake	
100	3696	1528929	C++	Blackfich	
100	3696	1753424	C++	FilkinKuiv	
100	3696	1770097	C++		
100	3696	1794620	C++		
100	3696	1799731	C++		
100	3696	1772510	C++	Aravia	
100	3696	1747776	C++	Lolidragon	
100	3696	1175255	C++	JoshL	
100	3696	2002917	C++	Hackerman007	
100	3696	2075168	C++	PapaEmeritus	
100	3696	2072927	C++	_you_	
100	3696	1793289	C++	LeQuyDuong	
100	3696	2359867	C++	Agda	
100	3696	2162492	C++	BluSomething	
100	3696	155928	C++	pk	
100	3696	2470625	C++	Gazoum	
100	3696	1096228	C++	XiaotianZuo	
100	3696	3293190	C++	lhm	
100	3696	4199347	C++	Meeeeheeeee	
100	3697	513549	Groovy	y0p	
100	3703	1295111	C#	Andrii.Bakulin	
100	3707	4338330	C#	0Ph	
100	3708	3750700	C++	VulpesCorsac	
100	3708	2924895	C++	trictrac	
100	3714	3918583	Java	mikmak	
100	3719	942810	C++	Xtophe	
100	3725	3564009	Lua	Waffle3z	
100	3732	201919	C++	LouJo	
100	3733	545951	C++	AntonT	
100	3734	197601	Python3	LetMeUseYourKeyboard	
100	3735	218189	Python3	[CG]Maxime	
100	3736	2968035	C++	DomiKo	
100	3743	3960770	C++	AndorM	
100	3745	329200	PHP	BlitzProg	
100	3745	2202771	Java	Kaplone	
100	3746	1782005	Javascript	AlexW	
100	3750	2325449	Perl	otpv	
100	3751	199701	PHP	bzm	
100	3759	860404	C++	Vitruvius	
100	3760	173928	Ruby	lacrosse	
100	3761	954023	Java	Rguiu	
100	3778	668906	Java	Sandworm	
100	3781	886483	ObjectiveC	R4N4R4M4	
100	3786	869323	C++	Ferra	
100	3795	3982709	Rust	lukasjapan	
100	3804	950088	C#	Nickname123	
100	3807	1441239	Javascript	Dyd	
100	3808	1605507	Java	Zes	
100	3809	1675034	Javascript	francois	
100	3810	848989	Java	revever	
100	3820	1818596	Ruby	wec	
100	3824	230015	Java	Kolo9	
100	3824	958227	Python3	LantarSidonis	
100	3825	1727322	Python3	pyjama	
100	3826	953751	C++	sebv	
100	3829	1584802	Python3	emh	
100	3829	1746116	C#	Nick5477	
100	3831	3950687	Python3	vkreuz	
100	3833	622213	Go	Ornicare	
100	3834	567787	C#	SAL9000	
100	3837	1487392	Java	Razielwar	
100	3838	3724738	C++	BoatBuilder	
100	3852	574656	Python3	dmpage	
100	3853	264258	Python3	MrFlibble	
100	3854	3919237	C#	Quick_Kick	
100	3855	4431726	Python3	tealfrog	
100	3858	1704708	Python3	valcodi	
100	3861	2266968	Python3	Steve2072	
100	3865	209439	Python3	D4yBr3ak	
100	3868	2785892	Python3	levbor	
100	3869	2605855	Python3	logiqub	
