Comp.	Score	UserID	Lang	Pseudo	#optim,count=310,time=2022-02-18 00:42:05
100	291	2288263	Rust	dbdr	
100	293	3949307	C++	xevixevi	
100	295	1339675	C++	SR4	
100	296	1530051	C++	UlYoP	
100	297	3230794	C++	tutubalin	
100	298	1436776	C++	BrainSolver	
100	298	2311105	C++	kovi	
100	302	3533119	C++	wlesavo	
100	304	1607522	C++	RoboStac	
100	304	1500515	C++	eulerscheZahl	
100	307	2923506	C++	darkhorse64	
100	308	512097	Haskell	Stilgart	
100	309	3621947	C	vrabosh	
100	310	3903473	C++	Konstant	
100	310	3918583	Rust	mikmak	
100	311	524638	C++	miklla	
100	311	1336464	C++	magaiti	
100	311	3235897	Java	Zylo	
100	311	893541	Java	wala	
100	312	1243354	C++	RSBat	
100	313	2500089	C++	Fantomat75	
100	313	4334077	C++	Paul_Demanze	
100	314	820000	C++	ValGrowth	
100	315	2924895	C	trictrac	
100	318	1629259	C++	Marchete	
100	318	4341304	C++	Remi.	
100	319	2416641	C	Zenoscave	
100	319	1114834	C++	k4ng0u	
100	320	2164798	Java	Mihai-Boicu	
100	320	1480426	C++	Hikari42	
100	320	3741524	C	princess_of_zeal	
100	320	155774	C++	dwarfie	
100	321	3839774	Rust	gurvan_lullien	
100	322	1883740	C++	kermo	
100	322	2350415	C++	Vintarel	
100	323	1854246	C++	Counterbalance	
100	327	1584802	C++	emh	
100	328	1693448	C	KoenduBuf	
100	329	311035	C++	leojean890	
100	329	153092	C++	Aurep	
100	329	1306813	C++	sprkrd	
100	332	759147	C++	kisszots	
100	334	1449433	C++	Rolf	
100	335	888898	C++	helgui	
100	336	2110342	Javascript	lchenay	
100	336	153965	Python3	[CG]Keelhaul	
100	338	2950978	C++	icecuber	
100	338	1838549	Rust	orangesnowfox	
100	340	4262172	C++	highjump	
100	345	952784	C++	[CG]Simon	
100	349	3809853	C++	Emilio-EH	
100	363	440476	C++	yowa	
100	364	3738782	C#	Inaniwa	
100	379	3343665	Rust	Quidome	
100	380	1393802	Rust	amzh	
100	382	4277867	Rust	About	
100	387	841420	C#	RandomVariable	
100	403	1684486	C++	Whopper	
100	414	3226448	Rust	tobk	
100	415	4526264	C++	cly	
100	436	1484839	Go	sparky	
100	440	2051334	C++	Dwarth	
100	458	2436448	Java	FrancoisMeme	
100	465	1781541	Python3	Schwase	
100	485	1566335	Python3	BeardedWhale	
100	490	3095454	C++	e2e4b6b7	
100	491	4066824	Python3	Thannajo	
100	508	792813	Python3	VilBoub	
100	520	631323	Python3	herve056	
100	550	1262539	C++	schizo	
100	552	3927891	Python3	whywhy_	
100	567	2786666	C++	TetraktysPhi	
100	576	4216789	Perl	Saur2000	
100	578	481988	Kotlin	DevKirill	
100	581	2290633	Ruby	field3	
100	583	552776	TypeScript	player_one	
100	586	3685512	C	CobraTV	
100	631	3792309	Python3	schachmatt	
