Comp.	Score	UserID	Lang	Pseudo	#optim,count=12314,time=2022-02-03 00:35:16
100	1684640	1470017	C++	BeBopping	
100	1469740	1399382	C#	Regulus136	
100	1455190	351062	C++	Neumann	
100	1265020	1327028	C++	FredericBautista	
100	1136220	1323814	C	Wildcat-SC	
100	1120220	154984	C++	_Royale	
100	849520	2077805	C++	bamilan	
100	805540	1530051	C++	UlYoP	
100	794210	1540478	Lua	struct	
100	777810	806157	C++	Aveuh	
100	760590	2288263	Rust	dbdr	
100	734190	1169499	C++	naab	
100	728130	1436776	C++	BrainSolver	
100	726490	1243582	Javascript	Daugone	
100	721100	1629259	C++	Marchete	
100	705070	805067	Javascript	Magus	
100	701040	2419544	Java	Intergalactic_space_lord	
100	682520	2522090	C#	MSmits	
100	672970	2968035	C++	DomiKo	
100	665770	2316796	PHP	Psio	
100	663620	1630890	Java	Wld	
100	655210	1003777	Rust	DanXX09	
100	654580	3012238	C++	miszu	
100	649860	338469	C++	__mcts__	
100	648260	2923506	C++	darkhorse64	
100	645780	3965571	C#	Smekarn	
100	644300	1378958	C#	Illedan	
100	639440	2557590	Kotlin	raaperrotta	
100	624280	820000	C++	ValGrowth	
100	611130	837350	C++	BorisZ	
100	543500	1273065	C++	TheRadical	
100	505510	1549145	C++	Mealc	
100	494650	4070745	C	HoriMiyamura	
100	487200	862919	C++	Astrobytes	
100	486090	2436448	Java	FrancoisMeme	
100	481750	4017851	C	Pintago	
100	480190	3845610	C++	pardouin	
100	478880	3919068	C++	14598366	
100	477560	4528331	C++	AllanB	
100	476930	1485690	C++	Kikoo	
100	473600	1029663	C	Skreamly	
100	473010	4073052	C++	slrn	
100	468050	2675733	C	PuppyPuncher	
100	467850	1756952	C++	Petras	
100	467270	888746	C++	Phate	
100	466860	3918583	Rust	mikmak	
100	466410	4511827	C++	priitl	
100	465250	4504049	C	Deliambre	
100	464000	2772292	C++	Bezukh	
100	463050	1607522	C++	RoboStac	
100	462150	4341304	C	Remi.	
100	460810	1881651	C	DoubtinGiyov	
100	460360	3196495	C++	putibuzu	
100	458630	1826849	C++	Geplik	
100	458530	2255967	C	mehdilh	
100	456270	4009347	Rust	JaworWr	
100	453510	3457031	C++	YurkovAS	
100	453100	1239545	Go	jke	
100	447880	3627342	C#	Zuabros	
100	441200	638784	C++	Yqnn	
100	436580	1307473	C++	Evgenykz	
100	430190	1500515	C#	eulerscheZahl	
100	419370	3502258	Java	TimAI	
100	410380	1114834	C++	k4ng0u	
100	406200	2571540	C	Nagatwin	
100	404550	155774	C++	dwarfie	
100	385600	2786666	C++	TetraktysPhi	
100	374900	4090213	C++	andrecab	
100	372960	3366188	Rust	SteveWhite	
100	366070	1100752	C++	ValNykol	
100	364940	4343764	C	knknknkn	
100	363530	3727272	Javascript	paszo	
100	363400	1786654	C++	Masclins	
100	358250	1414873	Javascript	Volcomix	
100	358130	2242201	C++	Maryan	
100	358080	2252914	C	Malleek	
100	355820	3410351	C	Deltaspace	
100	354460	4065227	C++	Pamplemus	
100	354420	1390607	C	Ivan_Derzhylo	
100	354120	1479930	C++	LeRenard	
100	353640	1489865	C++	EricSMSO	
100	353450	2924895	C	trictrac	
100	352600	3513265	C++	DaNinja	
100	351930	735487	C	amurushkin	
100	351280	2350415	C++	Vintarel	
100	351240	1467771	C++	Telokis	
100	349860	1106450	C++	RiSuS	
100	348770	2962968	C#	Pukunya	
100	348130	918352	C++	CoYoTe99	
100	347980	1724524	C#	Duaner	
100	344400	1304841	C++	NitMpez	
100	330670	3952328	C++	Lambdadelta	
100	327550	1728288	C#	MOLP	
100	322820	186179	C++	Nagrarok	
100	317110	1064903	C++	Ghirtor	
100	315410	1854246	C++	Counterbalance	
100	303850	588426	C++	Jeff06	
100	300910	4447108	C	MonkeyFeathers	
100	300650	1059996	C#	Molybdene	
100	300350	2311105	C++	kovi	
100	295710	962495	C++	eboot	
100	294560	4515396	C	Kazooie1966	
100	293170	3965067	C		
100	293120	219157	C++	BelaidKhaled	
100	292380	3389236	C#	spuriga	
100	291300	1015295	Java	Velicko	
100	290910	329200	C++	BlitzProg	
100	290580	4008340	C	Shawnny	
100	287770	3954357	C	laudep	
100	287290	788361	C++	Bob	
100	286460	3428379	C++	Stra	
100	286210	153774	C++	cocoche007	
100	285300	1267417	C++	co42	
100	283160	1868716	Rust	RagingCactus	
100	282160	811622	C++	Scarfield	
100	281790	3389226	C#	Peti88	
100	280980	4510326	Kotlin	MadisL	
100	280830	4168646	Rust	RaccoonWithSpork	
100	280290	1368852	Rust	raysplaceinspace	
