Comp.	Score	UserID	Lang	Pseudo	#optim,count=13866,time=2021-09-21 00:34:11
100	14337	329200	C++	BlitzProg	
100	13905	3533119	C++	wlesavo	
100	13603	1366631	Javascript	Morhaus	
100	13285	1307473	C++	Evgenykz	
100	11816	1781409	C++	schubc	
100	10983	154984	C++	_Royale	
100	10935	1789706	C#	HeySora	
100	10878	351062	Java	Neumann	
100	10148	588426	C++	Jeff06	
100	8422	2718975	C	mykeich	
100	8385	2662709	Python3	dead_man	
100	7916	1100752	C++	ValNykol	
100	7850	2288263	Rust	dbdr	
100	7235	1608197	Perl	Luun	
100	6966	805067	C++	Magus	
100	6856	157377	Javascript	McKelian	
100	6781	1025212	Java	Asterixk	
100	6777	358562	C++	Hadopire	
100	6462	3348388	C++	bowwowforeach	
100	6148	1616071	Java	Cyberpunk	
100	6076	2149927	C++	funkyJb	
100	6053	553938	C++	MagAlex	
100	5823	939530	Java	Jahz	
100	5746	2500089	C++	Fantomat75	
100	5665	1714054	Groovy	Marau	
100	5626	899313	Javascript	Javier2018	
100	5626	3594074	C++	jopo	
100	5552	613944	C++	diccy	
100	5529	1114834	Python3	k4ng0u	
100	5326	2455616	Java	JeanClaude44	
100	5281	218189	Java	[CG]Maxime	
100	5197	1001096	C#	MyIIone	
100	5178	3902927	Python3	Bulgot	
100	5114	3660034	PHP	MauriceB	
100	5037	3283415	Python3	Bon[]Crayon	
100	5026	2266968	Python3	Steve2072	
100	4968	3691366	Java	V90	
100	4957	2311105	C++	kovi	
100	4948	153683	Dart	40R15T3	
100	4933	2967836	Python3	LironBerger	
100	4887	1607971	Lua	notcake	
100	4867	2837454	Java	Inc_	
100	4866	1629259	Bash	Marchete	
100	4802	2064511	Java	Semenyutenko_Andrey	
100	4780	3279132	C++	Luggage	
100	4752	2042572	Python3	i_am_noob_abc	
100	4738	980147	C++	kingmoshe	
100	4716	2598800	C++	maxrd2	
100	4676	2406605	Python3	docri	
100	4587	1333869	Python3	kiwijam	
100	4573	1842010	C#	southpolenator	
100	4573	2043908	C#	AntiSquid	
100	4561	2242201	C++	Maryan	
100	4476	3960770	C++	AndorM	
100	4457	1183538	Python3	Petelag	
100	4443	638784	Python3	Yqnn	
100	4442	1424576	C#	Vindu	
100	4440	1159241	Java	luckman	
100	4423	331880	Javascript	Monstruo	
100	4380	3766690	C++	marty4545	
100	4377	1140756	C++	BarbsMan	
100	4373	182536	Scala	dbo	
100	4326	1687754	Java	cg123	
100	4318	1186273	Ruby	knacky	
100	4292	154961	C#	[CPC]Foudge	
100	4257	3918583	TypeScript	mikmak	
100	4234	1372843	Java	djjeck	
100	4197	545951	C++	AntonT	
100	4175	1327273	Python3	softice	
100	4151	1022926	Python3	_BC_	
100	4148	1500515	C#	eulerscheZahl	
100	4144	884034	C#	AdamHill	
100	4137	4037601	C++	Jelafo	
100	4104	1059313	C++	_SERGE_	
100	4061	1050420	Python3	boi_led_egg	
100	4058	1291690	Java	Razeurbak	
100	4054	2320186	Java	aPoStAl	
100	4035	1847671	C#	iWill	
100	4028	3629227	Python3	frog_alpha	
100	4026	1810538	Python3	ddoe99	
100	4022	552776	C#	player_one	
100	4015	153926	Go	Ripounet	
100	4002	1734105	Python3	Bibou	
100	3996	493310	Java	Marina	
100	3982	1757792	Java	oreshnik	
100	3924	1258656	C++	Batpapa	
100	3912	1530051	Python3	UlYoP	
100	3907	1848459	Java	Velcoro	
100	3902	629202	Java	Larry	
100	3877	1644437	C++	SurfDog	
100	3870	2512173	Python3	CbIPHiK	
100	3856	1481544	C++	ZarthaxX	
100	3854	1495113	C#	Wiso86	
100	3832	1100614	Java	ppeetteerr	
100	3826	2293073	C#	Andrey64	
100	3812	490588	Python3	Uljahn	
100	3801	2592027	C#	ParticleBeam	
100	3795	1534277	C#	ArkadiuszPlayer	
100	3789	153045	Python3	nib	
100	3785	1853956	PHP	yoannk	
100	3776	1250469	C#	AZen	
100	3772	1531874	Python3	Raven_Darkhold	
100	3762	1786164	Pascal	jeromino	
100	3738	1927198	Java	Glop_Glop	
100	3736	735910	C++	Agade	
100	3733	1323814	C++	Wildcat-SC	
100	3729	994344	Java	Momopouccino	
100	3726	2162881	Java	B4RF	
100	3720	973040	C	papyjo	
100	3697	1414854	C	jpages	
100	3674	3962423	C++	Shagar	
100	3666	1642926	C++	katabolh	
100	3660	3035801	Python3	Geneo	
100	3650	1348635	PHP	ferbos	
100	3642	2350846	C++	DrBloodmoney	
100	3641	154372	C++	Plopx	
100	3633	1500387	C#	shile13	
100	3616	1679187	C#	Xelz	
100	3615	893541	Java	wala	
100	3614	1399382	C#	Regulus136	
100	3607	569860	Python3	mapclyps	
100	3582	1258765	C#	Falcon256	
100	3569	224676	Python3	Jin66	
100	3563	1619211	C++	Tolomei	
100	3558	4046886	Python3	badele	
100	3552	1077559	Java	PhOeNyX	
100	3551	1788613	PHP	Gritche07	
100	3548	2315411	Java	cejonio	
100	3546	1544445	C#	DoctorJinxey	
100	3545	2923506	C++	darkhorse64	
100	3525	2794529	PHP	merdoyant	
100	3516	1485989	C#	ReActiveNZ	
100	3510	3836429	Python3	Hippolyte	
100	3508	3657937	Python3	elderlybeginner	
100	3502	2158902	Clojure	Snowbart	
100	3494	512097	Haskell	Stilgart	
100	3489	3521631	C#	Bamboozled2	
100	3483	977117	C++	Psyho	
100	3478	1017169	C#	bLasT	
100	3459	1785203	Java	No0ne	
100	3453	1512681	Python3	ligro	
100	3445	820000	C++	ValGrowth	
100	3435	1093968	PHP	milosMATRIXrepic	
100	3414	1315256	Java	FlashMan	
100	3407	1142942	C#	Aquamoth	
100	3394	2837654	Go	R2B2	
100	3384	2025868	C++	sumoru	
100	3376	1620803	Perl	Lyapunov	
100	3370	2526322	Java	fhemsworth	
100	3369	3213465	Python3	Gegene	
100	3354	320053	PHP	Zbug	
100	3345	2781726	Java	June1664	
100	3344	1274766	Javascript	bam	
100	3340	863071	Java	PtiFilouTubs	
100	3340	841085	C#	Risen	
100	3316	2649154	C++	Enamak	
100	3307	715431	Javascript	G3r0	
100	3296	2151291	Java	kurgak.ss	
100	3282	4390014	Python3	yfe42	
100	3276	1618351	Python3	Iamafish	
100	3273	154354	OCaml	Fougere	
100	3272	3998705	Java	LevanTruong	
100	3268	884069	Python3	punxxy	
100	3268	1642263	C#	GuessWhoAmI	
100	3264	3361496	Python3	SnowCat29	
100	3263	155887	Javascript	BanBan	
100	3261	3726978	C++	VirtualAtom	
100	3243	3534078	Python3	chabes	
100	3242	1569823	Python3	Niako	
100	3238	3767576	C++	njaber	
100	3228	311035	Python3	leojean890	
100	3218	1607395	C#	Osuran	
100	3214	4434701	Java	Pucu	
100	3213	1418816	Swift	ictor	
100	3203	222646	Java	Nettogrof	
100	3202	788361	C++	Bob	
100	3196	1414873	Javascript	Volcomix	
100	3195	1122412	Ruby	TheNinja	
100	3192	2719604	Python3	vpoulailleau	
