Score	UserID	Lang	Pseudo	#optim,count=2659,time=2020-05-18 02:04:51
2509	1327028	C++	FredericBautista	
2507	154372	Bash	Plopx	
2504	1695697	Python3		
2504	1249786	C#	Fededevi	
2501	1864483	Java	Mistblinde	
2500	2288263	Rust	dbdr	
2495	820000	PHP	ValGrowth	
2493	588426	Bash	Jeff06	
2492	1399382	C#	Regulus136	
2485	1039809	C#	Azziliz	
2485	154984	PHP	_Royale	
2478	338469	C++	-___-	
2477	1201783	Python3	yoha	
2476	1629259	C#	Marchete	
2475	1323814	Java	SatineChatounette	
2475	828213	Python3	anst	
2471	2054776	C++	GinSmal	
2467	1688372	C#	vs120	
2464	3418599	C++	YvanHerreros	
2462	1307473	C++	Evgenykz	
2462	1194069	Java	Redstrike	
2459	735910	C++	Agade	
2457	277758	Java	Duffy	
2454	1436776	C++	BrainSolver	
2452	1001096	C#	MyIIone	
2452	351062	Java	Neumann	
2450	1584802	Python3	emh	
2444	2311105	C++	kovi	
2441	553938	C++	MagAlex	
2441	805067	Javascript	Magus	
2438	1500515	C#	eulerscheZahl	
2423	806157	Python3	Aveuh	
2422	1244576	Java	PauloVilela	
2419	153937	Python3	oook	
2418	153823	PHP	Captainseb	
2416	1854246	C++	Counterbalance	
2415	218189	Java	[CG]Maxime	
2406	1169499	C++	naab	
2406	1457162	C++	JFB	
2404	1835525	C#	nwendel	
2401	1333869	Python3	kiwijam	
2397	1314316	C++	jolindien	
2397	155774	PHP	dwarfie	
2396	1880319	C++	WildSmilodon	
2394	1106450	C++	RiSuS	
2390	1178276	Java	Jerome_95	
2389	154806	Python3	piwai	
2388	3436443	C++	Mazelcop	
2387	1245647	C++	[CPC]Herbert	
2387	2510531	Python3	Jamproject	
2378	1607522	C++	RoboStac	
2377	1034635	C++	SlyB	
2377	2740243	Python3	Rprades	
2376	1000199	C	Zlatko	
2371	941713	C	Bloody95	
2368	786597	Python3	Fabien	
2368	952284	Ruby	Copro	
2368	2069141	C#	tomeko	
2362	826372	C++	skyyker	
2361	886483	PHP	R4N4R4M4	
2360	1983337	C++	PeterBlack	
2358	2387233	C#	SinOfWrath	
2355	1675034	Javascript	francois	
2353	2714157	C++	HowToCodeYourGundam	
2350	1566335	Java	BeardedWhale	
2347	1015215	C++	XaralamposXaris	
2345	1071140	C#	BeberLeNewbie	
2340	973040	C	papyjo	
2340	1876212	C++	PFischbeck	
2339	2242201	C++	Maryan	
2338	1754295	Java	SF	
2338	999637	C	dinobogan	
2338	2923506	C++	darkhorse64	
2336	1400179	C++	reCurse	
2330	1937628	C++	Elom	
2326	2786666	C++	TetraktysPhi	
2324	1469666	C++	alenic	
2324	1213718	C++	MrPavtun	
2322	3313759	Java	Umptah	
2321	1236329	Java	povatm	
2314	154388	Python3	PonyPonyCodeCode	
2312	371603	C++	martin	
2311	2455616	Java	JeanClaude44	
2311	347029	Go	Kevapo	
2309	403748	C#	[CG]SaiksyApo	
2308	2200625	C++	NolanD	
2308	992329	C++	BeeGee	
2307	1883740	C++	kermo	
2306	1501735	Python3	bernardlavilliers	
2305	2651240	Java	[MPST]Donset	
2301	1854731	C#	Solringen	
2300	3465277	Python3		
2300	1481384	C++	Ethaniael	
2297	1100752	C++	ValNykol	
2296	1340666	Python3	Pred4c3	
2296	1398838	Rust	Flokke	
2296	3665145	C++	seanfwilson	
2296	917370	C++	Gwi	
2295	1851160	C#	Fabienvs	
2291	979186	Java	IDEO	
2285	2316796	Java	Psio	
2284	848989	Java	revever	
2281	1312473	Python3	StealthEye	
2279	2371389	C#	Franta	
2277	1420269	Python3	Vischtor	
2274	1432947	Python3	empathy87	
2274	2238146	Java	stem	
2272	335954	Java	nmahoude	
2270	2043908	Java	AntiSquid	
2267	1757536	C++	BlueGhost31	
2265	919264	C#	Cyril_Jo	
2265	3443052	C	ItCouldBeJav	
2265	1606614	C#	Wazaa	
2262	2003902	C	mploux	
2260	631323	Python3	herve056	
2257	3508811	C++	MisterGuy	
2256	1136521	C	nadrek	
2254	271034	Ruby	6pi	
2251	1861258	Go	Nazdhun	
2248	1326713	C	Tybau	
2245	2156033	PHP	ffb	
2245	155896	PHP	gamoul	
2242	903408	C++	FFevotte	
2242	811004	C++	tarte7	
2240	704875	C#	XaY	
2240	2207251	C++	JeffBeSauce	
2238	1386456	Java	wvsever	
2238	925695	OCaml	Boulet	
2237	989912	C++	Arctik3-14	
2237	813150	C++	cgrave	
2233	1168948	C++	Exosum	
2233	3165536	C#	barbora	
2231	2696465	C++	KarlDjekko	
2230	937362	Javascript	josh_	
2230	3279132	C++	Luggage	
2229	1497552	C++	clemclem	
2223	1005061	Ruby	drac	
2223	3422454	C++	GDYendell	
2222	964499	C#	Ghotiphud	
2217	860239	Java	Neilura	
2217	934744	Java	Uguzon	
2217	1343111	Javascript	Thal	
2216	994344	Java	Momopouccino	
2215	2989967	C++	Rom098	
2213	1245471	Javascript	euhugo	
2212	706692	Java	alexhap	
2211	1188212	C++	superredlark	
2210	2165183	C	craig_macmuffin	
2209	1347608	Javascript	Darkoneko	
2203	920987	Python3	redna70	
2200	3317583	Python3	Mjo	
2198	3330730	C++		
2196	2197750	C	alec_RogueSaloon	
2193	1030259	C#	salext	
2192	1487392	Java	Razielwar	
2191	1572888	Python3	DirtyHarry	
2189	1853425	C++	Peter_Scorgie	
2180	1527403	C++	Di_Masta	
2178	802230	Java	Orabig	
2176	2149927	C++	funkyJb	
2175	1525821	C#	Jeroo	
2174	2077458	Java	Ragi	
2171	1491871	C++	CartmanCow	
2170	2407929	C++	elescanff	
2168	1759839	Python3	matleg	
2168	1715243	Java	Zerfa	
2164	1234259	C	digit_ro	
2163	2215615	C++	JonathanCasey	
2159	2440248	Python3	Javfres	
2158	1378254	Lua	zet23t	
2157	3005528	C++		
2152	773811	Java	szoti	
2151	3064190	C++	Sinnanodelta	
2149	1231156	Python3	dtip	
2149	1549145	C++	Mealc	
2148	939530	Java	Jahz	
2148	1258533	Python3	MathJason	
2148	1355842	Java	slaghn	
2144	1752518	Java	Akirender[CodingStones]	
2141	1193408	Javascript	DoubleZeroSteph	
2141	1201796	Javascript	P.Greze	
2139	1017169	C#	bLasT	
2139	1134660	C++	CrimsonDeus	
2138	759912	Javascript	felipeptcho	
2138	1107171	Groovy	Enough	
2138	1062962	C++	ArmandO.S.	
2137	1841301	C++	RetroRoberts	
2136	1499779	Java	NomadZ	
2135	1082806	Python3	LowSkill	
2135	1297312	Java	Sephrenya	
2134	1718945	C++	ilovebugs	
2134	3521631	C#	Bamboozled2	
2130	1181768	Java	dio_O	
2125	1114834	Scala	k4ng0u	
2124	915957	C	Tux	
2124	2533141	C++	Somnitis	
2124	2877172	C++	NikosF	
2124	2889572	C++	NikosFr	
2121	819803	Java	Anordil	
2120	3245819	Python3	TomA	
2119	514460	C++	Harv	
2119	2407189	C	Teuchteu	
2115	3737875	C#	Gordon-from-Blumberg	
2112	1206537	C++	MadKnight	
2110	1803872	Python3	happyweary	
2110	303151	Python3	MoOT.Cube	
2109	3487429	C++	Lestiar	
2107	1131528	C#	Owl	
2107	1669999	Python3	Killerjay666	
2107	2000540	C#	rombolshak	
2101	3756199	C++	KnightMoves	
2099	195088	C++	Jopie64	
2097	1612475	C#	superhoang	
2095	950545	C#	Cobru	
2095	1375394	Javascript	geekk	
