Comp.	Score	UserID	Lang	Pseudo	#optim,count=362,time=2022-02-16 00:47:38
100	999	1629259	PHP	Marchete	
100	999	3354337	C++	Mrs.GloriaZindlebocker	
100	999	3949307	C++	xevixevi	
100	518	4526264	PHP	cly	
100	517	1732414	PHP	ClosetAI	
100	500	2288263	Rust	dbdr	
100	415	3918583	PHP	mikmak	
100	400	1399382	C#	Regulus136	
100	335	820000	PHP	ValGrowth	
100	259	2043908	D	AntiSquid	
100	255	2924895	C	trictrac	
100	240	2968035	PHP	DomiKo	
100	238	1607522	PHP	RoboStac	
100	224	1344487	PHP	UnnamedCodinGamer	
100	209	3971358	PHP	OldJohn	
100	208	2522090	PHP	MSmits	
100	190	1479930	PHP	LeRenard	
100	177	155774	PHP	dwarfie	
100	175	1754295	PHP	SF	
100	170	3870898	PHP	LSpachmann	
100	170	1441239	PHP	Dyd	
100	169	3165536	PHP	barbora	
100	169	3533119	PHP	wlesavo	
100	151	1314316	C++	jolindien	
100	148	230015	PHP	Kolo9	
100	139	1500515	PHP	eulerscheZahl	
100	137	1378958	PHP	Illedan	
100	123	2406605	C	docri	
100	109	490588	PHP	Uljahn	
100	105	3647844	Python3	rc95401	
100	101	3136787	Python3	jacek	
100	99	1449433	C++	Rolf	
100	95	3457031	PHP	YurkovAS	
100	95	3726978	PHP	VirtualAtom	
100	95	3770485	PHP	zakki	
100	95	1336464	C++	magaiti	
100	95	2962968	PHP	Pukunya	
100	89	1484839	PHP	sparky	
100	89	3938495	OCaml	o11s	
100	89	4216789	Perl	Saur2000	
100	80	2451652	PHP	code_of_the_dead	
100	77	3489223	Javascript	KarloHubai	
100	71	973040	C	papyjo	
100	70	2311105	C++	kovi	
100	70	862919	PHP	Astrobytes	
100	70	1566335	PHP	BeardedWhale	
100	69	338469	PHP	__mcts__	
100	69	1657690	Kotlin	vinzz	
100	68	3916254	Python3	mikronex	
100	67	2786666	C++	TetraktysPhi	
100	66	385699	C	Nikai	
100	64	1489865	PHP	EricSMSO	
100	63	1457162	PHP	JFB	
100	60	3482129	PHP	Tiho97	
100	60	3235897	Java	Zylo	
100	60	3983017	PHP	TLbuis	
