Comp.	Score	UserID	Lang	Pseudo	#optim,count=381,time=2021-09-08 00:44:32
100	174652	3354337	Scala	Westicles	
100	167588	1530051	C++	UlYoP	
100	166108	2923506	C++	darkhorse64	
100	165192	2968035	C++	DomiKo	
100	164196	1629259	C#	Marchete	
100	156252	2924895	C	trictrac	
100	154816	2522090	C++	MSmits	
100	152240	4390014	Python3	yfe42	
100	150376	1314316	C++	jolindien	
100	150000	2288263	Rust	dbdr	
100	147888	1500515	C#	eulerscheZahl	
100	147064	1344487	C++	UnnamedCodinGamer	
100	145638	4007648	C++	nan0S_	
100	139032	1425201	C#	JamesPun	
100	136253	2311105	C++	kovi	
100	134530	893541	Java	wala	
100	131250	3918583	Rust	mikmak	
100	129368	3235897	Java	Zylo	
100	128988	1399382	C#	Regulus136	
100	128510	1378958	C#	Illedan	
100	120642	3046779	Rust	Kathrin	
100	118483	3457031	C++	YurkovAS	
100	116591	1201796	Java	P.Greze	
100	113146	3533119	Python3	wlesavo	
100	110747	580424	C++	siman	
100	109674	1243354	C++	RSBat	
100	102666	509738	C++	Konrad_Wer	
100	99630	3525167	Java	fgsdt	
100	96229	2510517	C++	Turtlefight	
100	95691	3487645	Javascript	hypers	
100	95472	862919	C++	Astrobytes	
100	92378	1854246	C++	Counterbalance	
100	88926	3985088	Java	tiagocuervo	
100	87682	1449433	C++	Rolf	
100	86076	3717149	C++	Jef808	
100	85408	3903847	C#	UnicornP	
100	83283	2680408	Python3	Griffern	
100	83128	2254195	Javascript	BrunoFelthes	
100	82495	2589340	C++	Zource	
100	80866	3647844	Python3	rc95401	
100	80424	4208158	C++	Tiouz	
100	77128	1752303	C++	murrayr	
100	75886	1050420	Python3	boi_led_egg	
100	73040	820000	C++	ValGrowth	
100	70133	3808317	C++	Bax533	
100	69474	1114834	C++	k4ng0u	
100	68798	3136962	C++	marimarek	
100	68670	3839774	C	gurvan_lullien	
100	68423	1684030	Rust	Mator	
100	68140	3677175	Rust	ToadLump	
100	67963	3594074	C++	jopo	
100	67763	3727077	C++	Manwi23	
100	65784	218189	C	[CG]Maxime	
