League	Score	UserID	AgentID	Lang	Pseudo	#time=2019-09-07 11:48:16,count=41
1	45.66	1607522	2483654	Go	RoboStac	
1	42.38	2924895	2483421	C	trictrac	
1	39.53	1479930	2479749	C++	LeRenard	
1	38.58	351062	2482874	C++	Neumann	
1	35.53	1489865	2473855	C++	EricSMSO	
1	35.46	2923506	2477349	C++	darkhorse64	
1	33.88	218189	2474890	C	[CG]Maxime	
1	33.08	2288263	2469261	Rust	dbdr	
1	29.94	862919	2482738	C++	Astrobytes	
1	27.43	271873	2482296	C	lionel_fr	
1	25.12	1238934	2482241	C++	accorp	
1	24.33	338469	2476187	C++	Sulaf	
1	22.72	973040	2481431	C	papyjo	
1	22.1	1861258	2476485	Go	Nazdhun	
1	21.7	2007852	2469264	Lua	Zorg1	
1	21.18	1436776	2470890	C++	BrainSolver	
1	20.23	1378958	2472276	C#	Illedan	
1	19.45	1854246	2474954	C++	Counterbalance	
1	16.57	928567	2471849	C++	Konstanta	
1	16.42	2290633	2475702	Python3	field3	
1	16.28	2786666	2476168	C++	TetraktysPhi	
1	16.11	1713174	2476428	Python3	BigUP	
1	14.2	792813	2474336	Python3	VilBoub	
1	14	314562	2473536	C++	Mechar	
1	13.12	3332198	2473927	Javascript	Matsoy	
1	12.68	2450542	2471871	C++	MindControler	
1	11.05	1194069	2470952	Java	Redstrike	
1	10.97	1412263	2480156	PHP	PatrickMcGinnisII	
1	10.27	2115491	2477268	Javascript	Haashi	
1	8.26	1200905	2469727	Python3	OK2	
1	7.78	2592111	2482043	Python3	otisrdvk	
1	7.66	2069141	2480966	C#	tomeko	
1	7.3	837350	2470488	Python3	BorisZ	
1	1.92	1740037	2470495	Scala	ereiam	
0	24.21	1206537	2482456	Ruby	MadKnight	
0	18.78	1786654	2482496	C++	Masclins	
0	8.56	2508635	2469270	Java	hemhel	
0	5.23	3462442	2478284	Javascript	Elgist	
0	-1.32	3340505	2469389	Python3	dovg	
0	-1.34	1783604	2477054	C	Vry	
0	-1.35	2043908	2469862	Java	AntiSquid	
