# time=2019-09-07 08:00:59
# count=1525
#League	Score	UserID	AgentID	Lang	Pseudo
0	46.54	1400179	2090524	C++	reCurse
0	44.86	1629259	2339355	C++	Marchete
0	43.98	2288263	2418174	Rust	dbdr
0	43.81	403748	251252	C#	[CG]SaiksyApo
0	43.28	155896	382882	PHP	gamoul
0	43.25	789003	253398	Javascript	Sharcoux
0	42.61	351062	252780	Java	Neumann
0	41.85	207714	251848	Scala	TrueLaurel
0	40.84	715319	265127	C#	poksh
0	40.7	593523	252283	C++	supermassive
0	40.61	543181	259554	Java	dominisz
0	40.02	527749	253112	C++	Pds
0	39.89	692317	256484	Java	Ozzie
0	39.84	1500515	2061537	C#	eulerscheZahl
0	39.8	279452	311597	C++	mangoose
0	39.79	154984	619874	C++	_Royale
0	39.69	933976	313946	Javascript	gx
0	39.69	464971	251387	C++	PsyGuy66
0	39.68	553938	249115	C++	MagAlex
0	39.67	938449	312159	C++	GalaxyNET
0	39.67	886483	648720	C	R4N4R4M4
0	39.66	704875	257269	C#	XaY
0	39.66	196808	253669	Java	bonam
0	39.62	730425	1675147	Javascript	JeffDownie
0	39.57	1054451	365839	C++	
0	39.55	2021126	2129708	Ruby	FPSCUBE
0	39.38	811004	796191	C++	tarte7
0	39.38	392581	247561	Java	goq
0	39.37	1061242	365649	C++	Csipcsirip
0	39.36	193315	258942	Java	hau
0	39.36	1175343	365968	C++	Hankerspace
0	39.18	1125706	370155	C++	Saillou
0	39.14	2913725	2129887	Python3	SherlockTD
0	39.07	523566	791319	PHP	Zorck
0	39.05	1509238	1768116	C++	Cosmo
0	39.03	952784	2245171	C++	Simon21
0	38.81	545951	257676	C++	AntonT
0	38.78	2179805	2129428	Python3	_La_Pulga
0	38.68	507383	249402	C#	Vadasz
0	38.64	712849	247615	Java	Tabea
0	38.51	2908429	2129656	Python3	MilkiBiss
0	38.45	805067	508879	C++	Magus
0	38.36	389175	257170	Java	Folkenn84
0	38.32	1423070	1369284	Python3	DarkRider
0	38.1	490905	257417	Python	lechium06_
0	37.98	1017169	363298	C#	bLasT
0	37.96	1448655	615811	Java	dervan
0	37.94	1579838	2425608	Rust	Roolmo
0	37.82	1001096	418314	C#	MyIIone
0	37.72	619211	257760	Java	Thrain
0	37.67	1206537	808241	Ruby	MadKnight
0	37.65	1333869	413150	Python3	kiwijam
0	37.51	165690	749417	C	Yorwan
0	37.4	515501	257883	Python3	Karol
0	37.36	155920	260408	Java	t2_cyborg
0	37.28	1405312	1746354	Python3	lipster
0	37.27	2731276	2067621	C++	panda42
0	37.21	604234	2250458	C++	ArnaldurBjarnason
0	37.06	153698	251544	Java	obourgain
0	36.91	2173864	2131918	Python3	Chimera
0	36.91	1269907	1454089	Javascript	Panixy
0	36.81	857521	653465	C#	MrAnderson
0	36.79	939530	801934	Java	Jahz
0	36.68	2025987	1730035	C++	Cham
0	36.65	236576	1918160	Go	Moghedrin
0	36.64	1437818	478666	Scala	Kotofey
0	36.46	1327028	416071	C++	FredericBautista
0	36.31	1201796	772060	C++	P.Greze
0	36.23	1717962	1433497	C++	Angryshark
0	36.19	2043908	2198729	C++	AntiSquid
0	36.16	2521660	1854990	Java	leoclz
0	36.14	1065038	1224908	C++	Mohamed_Choaib_Assoualma
0	36.1	1307473	460623	C++	Evgenykz
0	36.09	1229284	660824	C++	Prajyoth
0	36.05	1369177	622548	C++	PernicN
0	36.05	2946738	2116415	Python3	The_winter_soldier
0	36.04	155924	298937	Java	yvesmocq
0	36	2128920	2120483	C++	BishBash
0	36	1378958	1857219	C#	Illedan
0	35.98	222665	2357166	PHP	borrel
0	35.97	513456	257031	Python	nwin
0	35.95	2521670	1855256	Java	cccc_
0	35.95	1189812	367282	C++	kagary06
0	35.94	1073247	1476130	C++	DJ_NikJ
0	35.76	1232087	378432	Java	Martijnvdd
0	35.68	2155916	2132908	C++	KingOfTomer
0	35.68	1782814	1090715	C++	Trilusion
0	35.53	153057	744220	PHP	PierralF
0	35.49	2592367	2130325	C#	Jokero
0	35.48	153927	253822	C++	Cubix
0	35.43	2006324	1779737	C++	SihardeOussama
0	35.41	2521526	1999353	Java	Martin_Guillotte
0	35.37	2441322	1653943	C#	Lookbehind
0	35.34	2247254	2131514	Python3	me222
0	35.17	2981558	2132897	C++	remotfognik
0	35.16	873075	1095744	Ruby	LiBai
0	35.12	2519114	1855674	Java	timote.berthelot
0	35.11	498616	257287	C++	irhc
0	35.06	718159	257498	Java	dimkadimon
0	35.04	1920780	1308457	C++	WagnerGascho
0	35.01	1344353	1093955	PHP	PommesMitMayo
0	34.94	1705176	1218619	Python3	Jabba_Hatt
0	34.93	2179676	2132903	Python3	Tzil
0	34.89	735910	1577985	C++	Agade
0	34.84	200367	247387	Java	ecc
0	34.76	734853	259444	Java	JBV
0	34.74	1656084	772663	C++	iCC
0	34.68	233627	257330	Javascript	SlipOne
0	34.68	2233179	1668440	C++	Samsa
0	34.66	1101425	1612535	C#	EtchedChampion
0	34.66	1520245	871323	C++	kintdev
0	34.63	1279172	587467	Python3	Alphaloc
0	34.62	1258533	1218029	Python3	MathJason
0	34.62	2762291	1970909	C++	GeraldoSemPavor
0	34.61	215994	249432	Java	lefredj
0	34.58	973948	370463	Python3	Amnesix
0	34.57	162669	249170	Python	Gangrene
0	34.57	2178052	2132909	C++	NeonRift
0	34.56	464778	254155	C	nitishgalaxy
0	34.52	1390607	892335	C++	GoperJohn
0	34.49	527739	256382	Python	i_v_a
0	34.45	2911168	2132898	Python3	n-co
0	34.4	1743393	1093139	C++	Yudzhin
0	34.38	1503612	633998	C#	Dreagor
0	34.37	3285754	2347081	Java	YannisMannyfikDuhamelle
0	34.3	153045	254408	Javascript	nib
0	34.3	536072	257775	Java	IKarl
0	34.28	3285724	2346365	Java	Syp
0	34.14	3235897	2478470	Java	DanielGorski
0	34.04	925641	306733	C++	Christian
0	34	837583	361537	Python3	Acoma
0	33.99	3331437	2402413	Java	Vintern
0	33.91	495406	300140	C#	petrosyan
0	33.76	1815583	2452782	C++	HarderTilt
0	33.65	224325	249840	Java	TidyMaze
0	33.64	2906497	2132570	C++	daaskare
0	33.62	837350	1615160	Ruby	BorisZ
0	33.57	2320530	2469268	Python3	Ferris
0	33.44	1353669	578540	Python3	XAnimaX
0	33.41	2242201	2421595	C++	Maryan
0	33.29	697152	256780	Java	Bander88
0	33.25	1183644	371681	C++	Donotalo
0	33.23	1071140	618701	C#	BeberLeNewbie
0	33.07	1347320	2223754	Python3	Stormtrooper_7163
0	32.86	1920786	1310263	C++	LuizCarlosFerreiraJunior
0	32.81	1116637	2254434	Java	rascar_capac
0	32.69	810923	1492261	C++	CarcerDun
0	32.68	596778	249590	C++	Schrome
0	32.58	3285839	2353825	Java	DieuxC
0	32.51	1377805	1870872	Java	MHavlovick
0	32.51	154967	248698	Python	trnsnt
0	32.46	1528274	880348	Ruby	BlanCap
0	32.46	463873	259367	C++	tanakat01
0	32.45	2993655	2131801	C#	TJNewton
0	32.45	153690	259359	C++	Damz-Fish
0	32.43	622207	254710	Javascript	Brandon
0	32.41	1431710	1779034	C++	Thorb
0	32.4	323893	257838	Java	Onjanirina
0	32.39	406132	253335	C++	ManuDev
0	32.39	584403	257293	C#	nesnes
0	32.38	3285841	2338908	Java	Blandine
0	32.38	1600779	1316386	C#	AustinSpafford
0	32.37	1650733	1732205	C++	Gabeee
0	32.37	1336464	951281	C++	magaiti
0	32.35	2943550	2119666	Python3	Los_Garrapata
0	32.34	1093968	975646	Java	milosMATRIXrepic
0	32.34	153557	249908	Java	ISMAX
0	32.33	1254497	1224102	Java	Aidamina
0	32.32	1272263	1060432	Python3	Caled
0	32.32	1339675	872842	Python	SR4
0	32.31	1188212	370624	C	superredlark
0	32.29	1201783	368574	Python3	yoha
0	32.28	2408893	1635377	Java	jul_dmz
0	32.28	2960847	2132900	C++	hendrix
0	32.27	797285	298935	Python3	Flavi1
0	32.22	3285744	2343848	Java	Shinzeo
0	32.22	597121	249468	Haskell	scarecrow
0	32.22	2572485	1867135	Ruby	DGynn
0	32.21	1579627	901982	C#	Bahrani
0	32.2	1480384	637691	C++	RockyMullet
0	32.19	3189632	2248716	C++	BernhardLinnHilmarsson
0	32.14	1341520	2223741	Java	egaetan
0	32.14	871207	315025	Python3	rottenroot
0	32.11	828213	370385	Python3	anst
0	32.03	855824	748994	Python3	VoxMortem
0	32	792813	247083	Python3	VilBoub
0	31.92	153965	622516	Python3	Keelhaul
0	31.87	414278	455459	Java	oobException
0	31.85	1579924	2428121	Rust	sourlime
0	31.77	598106	257786	Perl	AllBlACKS
0	31.76	424974	2108083	Java	ikhsan
0	31.53	3363902	2464350	Kotlin	ldennis
0	31.47	2089606	1765863	PHP	Redus
0	31.41	927190	411521	C#	Bruno.Belmondo
0	31.35	662989	254103	Scala	Ascott
0	31.33	226528	418263	Java	Manwe
0	31.25	793412	370380	C++	startux
0	31.23	909992	1428457	C++	PluC
0	31.23	1457162	1495567	C++	JFB
0	30.97	1127783	367352	Python	zouzou
0	30.93	564290	413740	Ruby	mainge2036
0	30.85	1077559	2482622	Java	PhOeNyX
0	30.79	2898291	2136714	C++	m.zahniser
0	30.7	1060181	1626933	Ruby	Dabou
