# time=2019-09-07 08:00:40
# count=2259
#League	Score	UserID	AgentID	Lang	Pseudo
5	31.57	1327028	2102329	C++	FredericBautista
5	31.04	1413236	511966	Go	Medici
5	30.32	1500515	2061718	C++	eulerscheZahl
5	29.1	739151	503318	C++	Romka
5	29.07	1629259	2238282	C++	Marchete
5	27.93	832306	577136	C++	pb4
5	27.79	736075	1844663	C++	Xyze
5	27.71	735910	1535100	C++	Agade
5	27.59	494104	758945	C++	Recar
5	27.36	524638	1607068	C++	miklla
5	27.06	972894	1602281	C++	resty-daze
5	26.95	572695	900217	Go	ewgraf
5	26.29	1314316	2079881	C++	jolindien
5	26.16	1188212	498891	ObjectiveC	superredlark
5	25.98	2007852	2358612	Go	Zorg1
5	25.8	1415495	505445	C	fenrir
5	25.73	1336464	1646487	C++	magaiti
5	25.69	811004	788472	C++	tarte7
5	25.38	926124	2100944	C++	Beerus
5	25.16	1109979	2442623	C++	Gloopy
5	25.07	528262	498879	C	Niii
5	24.74	805067	508542	C++	Magus
5	24.39	1944142	2348132	C++	yakalir
5	24.22	1169499	2260434	C++	naab
5	23.74	193315	512531	Dart	hau
5	23.73	837350	1677039	Go	BorisZ
5	23.67	1293010	500186	C++	aLee
5	23.41	351062	1839511	C++	Neumann
5	23.24	1333869	572159	Python3	kiwijam
5	23.18	1061061	498877	C#	Bandersnatch
5	23.04	1082806	570581	C++	LowSkill
5	23	371603	1127811	C++	martin
5	22.98	1100752	904346	C++	ValNykol
5	22.83	1783604	2063331	C	Vry
5	22.83	431967	1926704	C++	takazawa
5	22.77	1400179	651485	C++	reCurse
5	22.67	153678	498887	C	dknn
5	22.48	1399852	2069784	C++	Thaell
5	22.38	154984	1937438	C++	_Royale
5	22.35	1206537	1657892	C++	MadKnight
5	22.32	1323814	511651	C	SatineChatounette
5	22.21	1378958	2146823	C#	Illedan
5	22.14	2590149	2470116	C++	GoofyGas
5	21.98	1399382	1577475	C++	Regulus136
5	21.97	1684486	2285696	C++	Whopper
5	21.8	1489865	1846525	C++	EricSMSO
5	21.63	335954	885293	Java	nmahoude
5	21.37	1203167	2078798	C++	r3versi
5	21.37	638784	502724	C++	Yqnn
5	21.36	2043908	2234778	Java	AntiSquid
5	21.33	1066860	579432	C#	suikkee
5	21.3	1194069	2071071	Java	Redstrike
5	21.13	1297312	498876	Java	Sephrenya
5	20.92	1457162	1508831	C++	JFB
5	20.69	1378781	509445	Java	D4ce
5	20.52	1238934	1660059	C++	accorp
5	20.47	1227862	505595	C++	AdamF
5	20.44	1164798	764371	C	ndriscoll
5	20.42	525827	538043	C++	Pavel
5	20.41	838037	2383717	C++	sas4eka
5	20.33	153937	794213	C++	oook
5	20.29	3190099	2258566	C++	
5	20.27	1854246	2078870	C++	Counterbalance
5	20.18	1106450	782855	C	RiSuS
5	20.08	1241062	575726	Java	jbs
5	19.93	3217628	2262552	C++	struct
5	19.91	1965323	1503474	C++	FrostMane
5	19.83	862336	761681	C	Zaphus
5	19.82	788361	1851904	C++	Bob
5	19.63	871207	899900	C++	rottenroot
5	19.25	1167615	899115	C++	TylerDurden
5	19.22	1373427	2061701	Java	VinceKanabo
5	19.18	1479930	1502187	C++	LeRenard
5	18.99	1176700	595092	C++	HL
5	18.9	935802	499213	C#	Jerhyn
5	18.86	1540478	2136641	C++	Tobou
5	18.85	155939	499204	C	xylo
5	18.78	2731777	1970393	C++	float
5	18.6	1734105	2312607	C++	Bibou
5	18.58	1673971	1526501	C++	Lanken
5	18.54	886483	1733574	ObjectiveC	R4N4R4M4
5	18.53	1407720	605382	C	bananaMixer
5	18.43	1363313	657422	Java	zeeton_red
5	18.4	1538959	793082	C	openmind
5	18.35	1386345	1392115	Go	vmnet4
5	18.25	1071140	499206	C#	BeberLeNewbie
5	18.17	840102	1659924	C#	KooKiz
5	17.98	554263	782380	C++	assy
5	17.96	1113432	498875	Java	ThierryC
5	17.88	3213465	2312606	C++	Gegene
5	17.72	624308	499212	C++	nosnosnos
5	16.81	859803	949939	C#	stauik
5	16.81	1391314	1656405	C++	Tar
5	16.13	828213	1328589	Go	anst
5	14.09	854952	2054154	Java	dolmen1234
5	13.43	196606	500547	Java	EasyCoder
5	13.32	1288865	781981	C	codyboto
5	11.11	1304841	498890	Java	NitMpez
5	11.02	1245647	1507477	C++	[CPC]Herbert
5	10.99	1314796	1789654	C++	JBence
5	10.98	1173502	498886	Java	wolfpack
5	10.89	1352030	950816	C	Viva
5	10.89	545951	1509103	C++	AntonT
5	10.88	512097	1503315	C++	Stilgart
5	10.87	196808	788576	Groovy	bonam
5	10.25	1122412	505060	Java	TheNinja
5	9.65	511125	511304	C++	Arrekin
5	9.65	622773	503139	C++	eldidou
5	9.62	965676	514155	C++	Rafbill
5	9.61	1407621	584141	C++	Taohbi
5	9.56	1428921	499214	C++	jBigman
5	9.5	588426	503751	C++	Jeff06
5	9.49	1540394	987625	C++	LVdA
5	8.46	596947	792844	C++	LBandy
5	8.19	966939	508064	C++	Bleuj
4	25.31	1404934	2475930	Rust	tarriel
4	25.18	1858764	2006307	C++	vdevid
4	25	1931039	1514587	C#	MooMooN
4	24.97	1337609	572211	C++	FlyingRaccoon
4	24.65	925695	2411305	OCaml	Boulet
4	24.43	1306541	1576002	C++	Steuh
4	24	416762	642018	Javascript	Khao
4	23.81	934381	2441028	Rust	PolyB
4	23.59	633271	509776	Go	Pomyk
4	23.37	335818	571160	Java	TyraEl
4	23.28	1504079	1096886	C#	Hamp
4	23.08	354788	621756	Java	Lexer31
4	23.07	329200	492416	C++	BlitzProg
4	22.97	1644437	800864	C++	SurfDog
4	22.54	154906	492415	Haskell	JBM
4	22.39	226528	688584	Java	Manwe
4	22.37	1399619	507171	C++	yurp
4	22.35	1307473	492435	C++	Evgenykz
4	22.24	880945	2417101	Kotlin	OmarHP
4	22.16	1131528	511071	C	Owl
4	22.16	965891	577889	Java	ElanVB
4	22.08	2731276	2061126	C++	panda42
4	22.07	1408315	506351	Java	ScoobGuiness
4	22.01	1519989	794527	Python	a5kin
4	21.99	884367	795820	C++	frozar
4	21.97	1361939	494361	C	Tof0986
4	21.88	1050421	492421	C++	geppoz
4	21.78	1481693	1747092	C#	KAIn
4	21.78	1168511	897990	C++	kasuka
4	21.7	266276	512164	C++	MrTimber
4	21.7	997727	572917	C	Monolitum
4	21.67	857521	2095466	C#	MrAnderson
4	21.65	300142	492417	C++	oyefremov
4	21.58	704875	492391	C#	XaY
4	21.53	527749	1455318	Go	Pds
4	21.49	841085	1077654	C#	Risen
4	21.49	1386456	1101808	C#	wvsever
4	21.49	1495394	890007	C#	qwerty_42
4	21.44	844968	572183	Python3	MoMaT
4	21.27	414278	501784	Java	oobException
4	20.96	946231	777300	C++	SpicyRamen
4	20.94	2924895	2198848	C	trictrac
4	20.92	855492	1322936	Go	Erk
4	20.91	1364983	2108825	C++	BogdanDevichev
4	20.81	999637	1445317	C	dinobogan
4	20.75	1082988	1215738	Python	Saelyos
4	20.66	1244959	577891	C++	Cahetel
4	20.55	933738	502726	Haskell	Vavans
4	20.54	1487392	2317906	Java	Razielwar
4	20.54	950512	570514	C++	salim.aboubacar
4	20.47	507383	507985	C#	Vadasz
4	20.36	946870	492400	Java	Radenko
4	20.31	1229845	1667540	Java	Jipe
4	20.25	1241501	492396	Rust	JW
4	20.17	1437820	600302	C	Deadbool
4	20.14	2510531	2249237	Python3	Jamproject
4	20.12	976712	893015	C++	Ridakz
4	20.1	1358627	917155	C++	Aleix
4	20.05	1034635	492404	C++	SlyB
4	20.03	893027	1325048	Python	R.Janvier
4	20	1440207	1392902	C++	Rungekutta
4	19.99	1209562	2436498	C++	JohnnyYuge
4	19.95	889789	2340543	C	Alain-Delpuch
4	19.94	1064903	1238743	C++	Ghirtor
4	19.94	334009	499364	PHP	abouvier
4	19.85	153965	779369	Python3	Keelhaul
4	19.8	403748	651739	C#	[CG]SaiksyApo
4	19.77	218189	492631	C	[CG]Maxime
4	19.72	1258656	498928	C++	Batpapa
4	19.66	476659	795758	C++	Beard
4	19.62	1452586	809477	C++	Mambo
4	19.62	2067113	1476871	C++	kaleryan
4	19.56	994344	572779	Java	Momopouccino
4	19.55	873958	680297	C#	cheeser
4	19.53	1528055	1672742	C++	YannBeuc
4	19.39	209439	573706	C	D4yBr3ak
4	19.23	1759839	2438672	Python3	matleg
4	19.04	195088	503142	C++	Jopie64
4	19.01	1149054	1220461	Java	Jeremee
4	18.99	992078	495872	Java	TheNumberOne
4	18.98	648751	611607	Haskell	dabino
4	18.9	917370	495871	C++	Gwi
4	18.84	1170712	1073929	Python3	Djo0012
4	18.8	1316319	496675	C++	Neabfi
4	18.79	855094	577399	C#	Crazydogto
4	18.77	155774	2118330	C++	dwarfie
4	18.69	893416	1667105	C	gschroed42
4	18.54	829593	922828	Java	daqiu
4	18.53	815488	499898	Java	Seti
4	18.53	370969	492383	C#	fgeo
4	18.43	2254195	1575417	Java	BrunoFelthes
4	18.41	1372349	2209277	Java	NinjaDoggy
4	18.38	1426548	809476	C++	MasterJos
4	18.38	2288263	2077176	Java	dbdr
4	18.32	1010067	1404790	Java	Decha
4	18.26	425477	1089673	Java	selslack
4	18.23	1479236	771118	Java	Syj
4	18.21	3235896	2418310	Java	Fenz
4	18.15	806622	502782	C#	caddy
4	18.14	938374	502725	C#	UnmanagedCode
4	18.13	930444	497504	C#	Holy_troll
4	18.12	230015	1496387	Java	Kolo9
4	18.1	256333	1306114	C#	Caracole
4	18.06	2158902	1746801	Scala	Snowbart
4	18.05	1059313	2059774	C++	_SERGE_
4	17.99	894260	1475643	Java	breizhGeek
4	17.97	953891	501997	C++	SimonM
4	17.81	609805	885651	C#	herve.delannoy
4	17.72	411147	505495	C++	HunterX
4	17.71	632549	492379	Java	Keiras
4	17.67	1326194	884683	Lua	nicolef
4	17.57	858629	1303028	C#	astryad
4	17.54	1048825	512799	C++	NetStranger
4	17.53	1716299	1502699	C++	micky924
4	17.47	893598	499216	C	tjandra
4	17.41	918069	492412	Java	fGd
4	17.37	1475517	892432	C#	scam17
4	17.34	1081895	503214	Java	m4gnum0n
4	17.33	1344487	1609530	Java	UnnamedCodinGamer
4	17.32	1402968	805647	Python	MMMAAANNN
4	17.23	884492	581799	C++	crem
4	17.22	1473017	2409571	C++	justhalf
4	17.2	1201796	1707065	C++	P.Greze
4	17.14	893541	2422954	Java	wala
4	17.13	1335230	1619206	Java	jft63
4	17.11	1258533	2097486	Scala	MathJason
4	17.1	830819	492426	Java	johnnyhibiki
4	17.01	1542460	1508941	C++	[CPC]totoleharicotvert
4	17	155008	951186	Rust	Majavar
4	16.98	706692	1505795	Java	alexhap
4	16.97	1377125	1496155	C++	GreenPinguin
4	16.95	1486945	590475	Java	FredrikMetcalf
4	16.88	1416725	1088510	C	BayashiPascal
4	16.87	1607522	2206616	Go	RoboStac
4	16.86	198916	1089855	Java	WhatTrickeryIsThis
4	16.86	1408492	1096570	Java	Ptit-g
4	16.85	1584802	1442507	C++	emh
4	16.84	1377805	762283	Java	MHavlovick
4	16.83	1361582	1676983	C#	PhilSharp
4	16.83	1022925	1755600	C++	Adrien.
4	16.83	808454	653481	Java	.EagleDawn.
4	16.8	1520827	1089674	Python3	IcedCapp
4	16.78	1382430	495310	C	Takenoko
4	16.74	1077559	1307152	Java	PhOeNyX
4	16.73	980299	504623	Javascript	Namide
4	16.71	765200	1481482	C#	FrancoisB
4	16.66	1093968	1672635	C	milosMATRIXrepic
4	16.61	1375394	492380	Javascript	geekk
4	16.59	612827	1928615	Python3	Wellan
4	16.55	1029663	657912	C	Skreamly
4	16.41	819803	575995	Javascript	Anordil
4	16.4	155091	1310854	Java	smeagol
4	16.29	1341106	499365	Java	ixepho
4	15.87	1470107	588215	C#	jsmith
4	15.84	1348832	581314	C#	AzatJalilov
4	14.36	1105518	499778	C	LordDrew
4	13.56	1341520	1075535	Java	egaetan
4	12.74	1268618	779834	Java	Barnou
4	11.75	568476	492384	Java	Dje54
4	11.16	1001096	492632	C#	MyIIone
4	8.32	1147989	492370	C++	kerek
4	8.2	567777	492405	Java	GTS
4	8.2	1269372	1306309	C++	MooseTard
4	8.2	1428084	594501	Dart	Mixolyde
4	8.18	1343111	592654	C++	Thal
4	8.17	2006324	1998707	Dart	SihardeOussama
4	8.17	1664044	1619940	Dart	BUG
4	8.17	1408329	630960	C++	Sacriyana
4	8.15	1197161	574928	C#	olsh
4	8.14	976686	606038	C++	a_aly_saeed
4	8.14	1410353	1502195	Rust	SwagColoredKitteh
4	8.12	1162034	509891	C++	krakeusz
4	8.09	153784	505698	C#	Whitec
4	8.08	1170641	777963	Dart	ioncodes
4	8.06	1279172	576466	C++	Alphaloc
4	8.04	153683	503144	Dart	40R15T3
4	7.91	1957997	1296388	C++	woopwoop
4	7.88	1181465	503843	C++	r57shell
4	7.58	893573	748835	C++	KarlisS
4	6.66	1365434	804536	C++	FredTingaud
4	6.6	154372	572962	C++	Plopx
4	6.05	963687	503143	C++	shiona
4	4.6	505511	495750	Java	int33h
3	27.35	2233676	2207099	Python3	cleanrock
3	27.33	1680988	2448996	Go	.[-_-].
3	26.34	1145203	885671	Python3	Lemps
3	26.09	381613	1219482	C	Hadou_
3	25.59	153057	1845721	PHP	PierralF
3	25.35	1628347	2203900	Python3	wieczyk
3	25.27	1417580	1196268	Python3	brexe
3	24.83	697061	2118967	C++	Frankly
3	24.41	1233891	482096	Javascript	b[A]s
3	24.36	1065947	493557	C#	RPA
3	24.22	805707	493013	C#	Shiney
3	24.18	1529055	671299	Java	PacMann
3	24.09	1428915	574944	C#	EnygmaBis
3	24.04	1803872	2482782	Python3	happyweary
3	23.76	552776	505829	C#	player_one
3	23.36	2242201	2468389	C++	Maryan
3	23.22	606225	574109	C#	Enygma
3	23.17	1096201	762631	C#	Maksimov
3	23.14	2158904	1454118	Python3	ChouBaGuai
3	23.05	599629	482986	C#	robwaw
3	22.91	156188	587850	PHP	DorianWilde
3	22.89	1606588	897000	Python3	inoryy
3	22.8	1219395	759779	Java	mihaj
3	22.54	1013757	481959	Ruby	RikyM
3	22.43	802171	495398	PHP	Merome
3	22.41	1151167	1855052	Java	CletteBou
3	22.35	715319	1538881	C#	poksh
3	22.3	1324974	496231	Perl	ViktorCs
3	22.26	1458734	498220	Python3	Lizardue
3	22.22	1390607	754114	Java	GoperJohn
3	21.99	1087021	660466	Javascript	Gluck
3	21.97	1418821	1622733	C	input.txt
3	21.95	1178123	501378	Java	Chabs
3	21.4	1394530	1611878	C++	Idleless
3	21.34	240454	492867	C#	Mikkanu
3	21.3	1068877	493206	C#	[CPC]Tamno
3	21.14	272329	575955	Python3	Arglanir
3	21.08	605597	561597	Java	Spider Jerusalem
3	20.91	225875	2056773	C#	leff
3	20.84	194446	508089	Java	loic
3	20.68	873626	484536	Python	yomax
3	20.56	2786666	2469226	C++	TetraktysPhi
3	20.45	1288527	2074706	C++	Snef
3	20.38	1140027	484416	Ruby	theBee
3	20.28	894599	493045	Java	DidierC
3	20.2	989912	501383	C++	Arctik3-14
3	20.15	440476	885228	Ruby	yowa
3	20.02	1311368	571829	Python	Quantuum
3	19.92	1350224	487080	C++	ArpadKiss
3	19.78	1448214	1300370	C++	KRiver1
3	19.73	1441235	509359	Javascript	finchie
3	19.71	1471090	589376	Haskell	Arcs
3	19.45	1427078	1215833	Java	ToshiTuringMachine
3	19.35	875531	595401	Python3	Darktrop
3	19.32	972854	498679	C	MrXo
3	19.31	1410745	510277	Java	purine
3	19.3	1178276	780231	Java	Jerome_95
3	19.24	912652	507870	C#	phlegyas
3	19.23	1018437	577989	C++	dubicube
3	19.03	828239	584920	C#	[SG]Bisou
3	18.97	1127783	511666	Python3	zouzou
3	18.94	1333347	507634	C++	Sitiel
3	18.93	819689	508345	C++	Tantal
3	18.93	990569	501593	C++	Srkr
3	18.93	802230	484081	Java	Orabig
3	18.79	2762653	2266249	Dart	RAAAT
3	18.77	1359547	495634	C++	Transat
3	18.74	158495	2078329	Javascript	Cr3aHal0
3	18.67	2572485	1874422	Ruby	DGynn
3	18.57	1861300	1215641	C#	Jakkyl
3	18.53	1342741	485252	Java	ltDan
3	18.51	864639	501518	Java	PseudoNoise
3	18.39	942208	485463	C++	Dex08
3	18.13	1251381	492357	Java	ZepHead
3	18.12	1049160	570342	C++	JIukaviy
3	18.02	1103644	570584	C++	dogther
3	18.01	1469819	579299	Javascript	Allsecond
3	17.94	1316807	484762	Go	Edwardadd
3	17.86	1158856	486765	Java	Kam
3	17.85	1371323	483991	C++	Warrior38
3	17.81	1272934	1476146	Java	kipu44
3	17.72	1238185	486398	C	TitouanT
3	17.71	1005961	493255	Java	Rosman
3	17.7	1095446	490812	Java	tarbomb
3	17.68	1274026	981522	C#	Sethius
3	17.67	1225196	920254	Python	Pepetroo
3	17.39	1634847	750222	Python3	trolleysolution
3	17.26	389632	481949	Python	ma
3	17.11	1140677	489355	C++	Crog
3	17.1	1049935	2056958	C++	Azkellas
3	17.04	1492668	802723	Java	MatthieuC
3	16.97	992691	490112	Python3	tredden
3	16.96	792813	482380	Python3	VilBoub
3	16.94	831681	572760	C++	Brindesable
3	16.91	240990	489604	Dart	ggirou[SFEIR]
3	16.9	2153101	1483587	Python3	Bilou06
3	16.88	945054	590338	Go	Blem
3	16.86	430068	770032	Javascript	Magiczvn
3	16.86	610412	2112744	C#	Youssouf
3	16.85	1364613	662252	Java	DudeXIII
3	16.82	1170072	2036118	Javascript	BjB
3	16.78	1864322	1232565	Java	piko
3	16.77	1485989	907618	Python3	ReActiveNZ
3	16.75	865548	573419	Python	Kktus
3	16.75	635884	486028	Java	[1A]Zaxx
3	16.73	1158405	1298360	C++	KolbasniyVeter
3	16.72	1273026	505180	C++	BenZubrow
3	16.72	1112318	486110	C++	dualinity
3	16.68	1504667	634289	C#	PingWin
3	16.67	272438	482198	Python3	mullerfr
3	16.66	1857772	1592137	C#	darkange69
3	16.61	1372843	499324	Java	djjeck
3	16.52	1463566	503922	Javascript	Ikael
3	16.52	1667366	829589	C	Rasky
3	16.47	1398838	484077	Rust	Flokke
3	16.46	490588	482249	Python	Uljahn
3	16.45	1644544	915972	C	RuneMagick
3	16.37	3235897	2359707	Java	DanielGorski
3	16.34	1038953	804866	C++	P_B_J
3	16.16	1408361	599875	C++	[CPC]Cwningen
3	16.15	1740037	1110284	Scala	ereiam
3	16.1	1802967	1860384	Python3	Meruem
3	16.06	1350791	494699	Java	Zyde
3	16.04	905697	504875	C#	SharkyRS
3	15.87	482543	497117	C++	seshoumara
3	15.83	806157	483320	C++	Aveuh
3	15.82	2250452	1618654	C	Isac
